K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
73.17.20,,,,20Bajo Barat,-,9,,
73.17.20.2001,,,,,,1 Bonelemo,,"Perbaikan nama sesuai lampiran klarifikasi data Desa Kab. Luwu
tentang Kode dan data Wilayah Administrasi Pemerintahan kab. Luwu
Th 2015"
73.17.20.2002,,,,,,2 Sampeang,,
73.17.20.2003,,,,,,3 Marinding,,
73.17.20.2004,,,,,,4 Saronda,,
73.17.20.2005,,,,,,5 Kadong-Kadong,,"Perbaikan nama sesuai lampiran klarifikasi data Desa Kab. Luwu
tentang Kode dan data Wilayah Administrasi Pemerintahan kab. Luwu
Th 2015"
73.17.20.2006,,,,,,6 Tumbubara,,"Perbaikan nama sesuai lampiran klarifikasi data Desa Kab. Luwu
tentang Kode dan data Wilayah Administrasi Pemerintahan kab. Luwu
Th 2015"
73.17.20.2007,,,,,,7 Tettekang,,
73.17.20.2008,,,,,,8 Bonelemo Utara,,PMD dan Dukcapil
73.17.20.2009,,,,,,9 Bonelemo Barat,,PMD dan Dukcapil
73.17.21,,,,21Ponrang Selatan,1,12,,
73.17.21.2001,,,,,,1 Jenne Maeja,,"Perbaikan nama sesuai lampiran klarifikasi data Desa Kab. Luwu
tentang Kode dan data Wilayah Administrasi Pemerintahan kab. Luwu
Th 2015"
73.17.21.2002,,,,,,2 Bakti,,
73.17.21.2003,,,,,,3 Buntu Karya,,
73.17.21.2004,,,,,,4 Olang,,
73.17.21.1005,,,,,1Pattedong,,,"Perubahan status menjadi Kel, Perda No. 6/2009"
73.17.21.2006,,,,,,5 Bassiang,,
73.17.21.2007,,,,,,6 Paccerakkang,,
73.17.21.2008,,,,,,7 Lampuara,,
73.17.21.2009,,,,,,8 To'balo,,
73.17.21.2010,,,,,,9 To'bia,,PMD dan Dukcapil
73.17.21.2011,,,,,,10 Bassiang Timur,,PMD dan Dukcapil
73.17.21.2012,,,,,,11 Pattedong Selatan,,PMD dan Dukcapil
73.17.21.2013,,,,,,12 Tarramatekkeng,,PMD dan Dukcapil
73.17.22,,,,"22Basse Sangtempe
Utara",-,12,,"Pemekaran sebagian Kec. Basse Sangtempe, Perda No. 1/2012"
73.17.22.2001,,,,,,1 Bonglo,,"Semula wil Kec. Basse Sangtempe, Perda No. 1/2012"
73.17.22.2002,,,,,,2 Tede,,"Semula wil Kec. Basse Sangtempe, Perda No. 1/2012, Koreksi nama
'Teda' Srt Ditjen BPD No 140/5118/BPD tgl 18 Juli 2019"
73.17.22.2003,,,,,,3 Barana,,"Semula wil Kec. Basse Sangtempe, Perda No. 1/2012"
73.17.22.2004,,,,,,4 Uraso,,"Semula wil Kec. Basse Sangtempe, Perda No. 1/2012"
73.17.22.2005,,,,,,5 Karatuan,,"Semula wil Kec. Basse Sangtempe, Perda No. 1/2012"
73.17.22.2006,,,,,,6 Salubua,,"Semula wil Kec. Basse Sangtempe, Perda No. 1/2012"
73.17.22.2007,,,,,,7 Pantilang,,"Semula wil Kec. Basse Sangtempe, Perda No. 1/2012"
73.17.22.2008,,,,,,8 Buntu Tallang,,"Semula wil Kec. Basse Sangtempe, Perda No. 1/2012"
,,,,,,,,
