NO,KODE,"N A M A
KABUPATEN / KOTA",J U M L A H,,,"LUAS
WILAYAH
(Km2)*","JUMLAH
PENDUDUK
(Jiwa)**",K E T E R A N G A N
,,,KEC,KEL,DESA,,,
"20
21
22
23
24
25
26
27
28
29
30
31
32
33","12.20
12.21
12.22
12.23
12.24
12.25
12.71
12.72
12.73
12.74
12.75
12.76
12.77
12.78","KAB. PADANG LAWAS UTARA
KAB. PADANG LAWAS
KAB. LABUHANBATU SELATAN
KAB. LABUHANBATU UTARA
KAB. NIAS UTARA
KAB. NIAS BARAT
KOTA MEDAN
KOTA PEMATANGSIANTAR
KOTA SIBOLGA
KOTA TANJUNG BALAI
KOTA BINJAI
KOTA TEBING TINGGI
KOTA PADANG SIDEMPUAN
KOTA GUNUNGSITOLI","12
17
5
8
11
8
21
8
4
6
5
5
6
6","2
1
2
8
1
0
151
53
17
31
37
35
37
3","386
303
52
82
112
105
0
0
0
0
0
0
42
98","3.945,557
3.914,413
3.079,610
3.686,013
1.238,055
464,219
279,290
75,919
11,471
60,072
93,770
39,170
159,298
208,684","270.595
264.041
325.451
396.555
152.378
96.938
2.527.050
274.278
95.527
179.589
300.499
177.029
228.744
137.249","UU No. 37/2007.
Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober
2022.
UU No. 38/2007.
Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022.
UU No. 22/2008.
Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober
2022.
UU No. 23/2008.
Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober
2022.
UU NO. 45/2008.
Luas Wilayah Definitif, PBW sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober
2022.
UU No. 46/2008.
Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober
2022.
Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober
2022.
Perbaikan nama sesuai BA No. 2826.a/BP/2017 Rapat Penyusunan & Validasi Data Wilayah tgl 30 Okt s/d 1 Nov 2017.
Luas Wilayah Indikatif sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022.
Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober
2022.
Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022.
Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022.
Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober
2022.
UU No. 4 Tahun 2001.
Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022.
UU No. 46/2008.
Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober
2022."
