K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
14.04.12.2005,,,,,,5 Sungaibaru,,
14.04.12.1006,,,,,1Kuala Lahang,,,"Perubahan status menjadi Kel, Perda No. 3/2012"
14.04.12.2007,,,,,,6 Lahang Tengah,,
14.04.12.2008,,,,,,7 Lahang Hulu,,
14.04.12.2009,,,,,,8 Pungkat,,
14.04.12.2010,,,,,,9 Jerambang,,
14.04.12.2011,,,,,,10 Telukkabung,,
14.04.12.2012,,,,,,11 Gembira,,"Pemekaran sebagian Desa Teluk Kabung, Perda No. 6/2011"
14.04.12.2013,,,,,,12 Semambu Kuning,,"Pemekaran sebagian Desa Simpang Gaung, Perda No.6/2011,
Perbaikan nama sesuai Validasi Ditjen BPD tgl 23 Juni 2016, Perbaikan
nama hasil validasi data nama desa tgl 28 April 2017 dan rekomendasi
Ditjen Bina Pemdes No.146/3672/BPD tgl 21 Juni 2017"
14.04.12.2014,,,,,,13 Telukmerbau,,"Pemekaran sebagian Desa Terusan Kempas, Perda No. 6/2011"
14.04.12.2015,,,,,,14 Soren,,"Pemekaran sebagian Desa Kuala Lahang, Perda No. 6/2011"
14.04.12.2016,,,,,,15 Pintasan,,"Pemekaran sebagian Desa Jerembang, Perda No. 6/2011"
14.04.13,,,,13Tembilahan Hulu,2,4,,
14.04.13.1001,,,,,1Tembilahan Hulu,,,
14.04.13.2002,,,,,,1 Pekan Kamis,,"Perbaikan nama desa sesuai hasil Validasi Ditjen Bina Pemdes ttg Data
Nama dan Kode Desa tgl 23 Juni 2016, Perbaikan nama hasil validasi
data nama desa tgl 28 April 2017 dan rekomendasi Ditjen Bina Pemdes
No.146/3672/BPD tgl 21 Juni 2017"
14.04.13.2003,,,,,,2 Pulaupalas,,
14.04.13.2004,,,,,,3 Sialang Panjang,,"Perbaikan nama desa sesuai hasil Validasi Ditjen Bina Pemdes ttg Data
Nama dan Kode Desa tgl 23 Juni 2016, Perbaikan nama hasil validasi
data nama desa tgl 28 April 2017 dan rekomendasi Ditjen Bina Pemdes
No.146/3672/BPD tgl 21 Juni 2017"
14.04.13.1005,,,,,2Tembilahan Barat,,,"Pemekaran sebagian Kel. Seberang Tembilahan, Perda No. 5/2011"
14.04.13.2006,,,,,,4 Sungaiintan,,"Pemekaran sebagian Desa Pulaupalas, Perda No. 6/2011"
14.04.14,,,,14Kemuning,1,11,,
14.04.14.1001,,,,,1Selensen,,,"Perubahan status menjadi Kel, Perda No. 3/2012"
14.04.14.2002,,,,,,1 Batu Ampar,,"Perbaikan nama desa sesuai hasil Validasi Ditjen Bina Pemdes ttg Data
Nama dan Kode Desa tgl 23 Juni 2016, Perbaikan nama hasil validasi
data nama desa tgl 28 April 2017 dan rekomendasi Ditjen Bina Pemdes
No.146/3672/BPD tgl 21 Juni 2017"
14.04.14.2003,,,,,,2 Keritang,,
14.04.14.2004,,,,,,3 Air Balui,,"Perbaikan nama desa sesuai hasil Validasi Ditjen Bina Pemdes ttg Data
Nama dan Kode Desa tgl 23 Juni 2016, Perbaikan nama hasil validasi
data nama desa tgl 28 April 2017 dan rekomendasi Ditjen Bina Pemdes
No.146/3672/BPD tgl 21 Juni 2017"
14.04.14.2005,,,,,,4 Tuk Jimun,,"Perbaikan nama desa sesuai hasil Validasi Ditjen Bina Pemdes ttg Data
Nama dan Kode Desa tgl 23 Juni 2016, Perbaikan nama hasil validasi
data nama desa tgl 28 April 2017 dan rekomendasi Ditjen Bina Pemdes
No.146/3672/BPD tgl 21 Juni 2017"
,,,,,,,,
