NO,KODE,"N A M A
KABUPATEN / KOTA",J U M L A H,,,"LUAS
WILAYAH
(Km2)*","JUMLAH
PENDUDUK
(Jiwa)**",K E T E R A N G A N
,,,KEC,KEL,DESA,,,
"1
2
3
4
5
6
7
8
9
10
11","15.01
15.02
15.03
15.04
15.05
15.06
15.07
15.08
15.09
15.71
15.72","KAB. KERINCI
KAB. MERANGIN
KAB. SAROLANGUN
KAB. BATANGHARI
KAB. MUARO JAMBI
KAB. TANJUNG JABUNG BARAT
KAB. TANJUNG JABUNG TIMUR
KAB. BUNGO
KAB. TEBO
KOTA JAMBI
KOTA SUNGAI PENUH","18
24
11
8
11
13
11
17
12
11
8","2
10
9
14
5
20
20
12
7
68
4","285
205
149
110
150
114
73
141
122
0
65","3.445,196
7.540,118
5.935,894
5.387,516
5.225,796
5.546,063
4.546,621
4.760,827
6.103,737
169,887
364,924","257.781
373.472
290.491
307.390
422.051
324.160
233.102
361.819
350.234
622.014
100.249","PP No. 27/2011 Pemindahan Ibukota Kab.
Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022.
Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022.
Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022.
Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober
2022.
Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober
2022.
Luas Wilayah Indikatif sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022.
Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober
2022.
Luas Wilayah Definitif, PBW sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober
2022.
Luas Wilayah Definitif, PBW sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober
2022.
Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022.
UU No. 25/2008.
Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No. B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
,,JUMLAH,144,171,1.414,"49.026,579",3.642.763,
