K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
14.06.11.2006,,,,,,6 Puo Raya,,"Perbaikan nama desa sesuai hasil Validasi Ditjen Bina Pemdes ttg Data
Nama dan Kode Desa tgl 23 Juni 2016, Perbaikan nama hasil validasi
data nama desa tgl 28 April 2017 dan rekomendasi Ditjen Bina Pemdes
No.146/3672/BPD tgl 21 Juni 2017"
14.06.11.2007,,,,,,7 Sei Kuning,,"Perbaikan nama desa sesuai hasil Validasi Ditjen Bina Pemdes ttg Data
Nama dan Kode Desa tgl 23 Juni 2016, Perbaikan nama hasil validasi
data nama desa tgl 28 April 2017 dan rekomendasi Ditjen Bina Pemdes
No.146/3672/BPD tgl 21 Juni 2017"
14.06.11.2008,,,,,,8 Koto Tandun,,"Perda No. 14/2007, Perbaikan nama sesuai Validasi Ditjen BPD tgl 23
Juni 2016, Perbaikan nama hasil validasi data nama desa tgl 28 April
2017 dan rekomendasi Ditjen Bina Pemdes No.146/3672/BPD tgl 21
Juni 2017"
14.06.11.2009,,,,,,9 Tandun Barat,,Perda No. 14/2007
14.06.12,,,,12Kabun,-,6,,
14.06.12.2001,,,,,,1 Kabun,,
14.06.12.2002,,,,,,2 Aliantan,,
14.06.12.2003,,,,,,3 Koto Ranah,,"Perbaikan nama desa sesuai hasil Validasi Ditjen Bina Pemdes ttg Data
Nama dan Kode Desa tgl 23 Juni 2016, Perbaikan nama hasil validasi
data nama desa tgl 28 April 2017 dan rekomendasi Ditjen Bina Pemdes
No.146/3672/BPD tgl 21 Juni 2017"
14.06.12.2004,,,,,,4 Boncah Kesuma,,"Perbaikan nama desa sesuai hasil Validasi Ditjen Bina Pemdes ttg Data
Nama dan Kode Desa tgl 23 Juni 2016, Perbaikan nama hasil validasi
data nama desa tgl 28 April 2017 dan rekomendasi Ditjen Bina Pemdes
No.146/3672/BPD tgl 21 Juni 2017"
14.06.12.2005,,,,,,5 Batu Langkah Besar,,"Perbaikan nama desa sesuai hasil Validasi Ditjen Bina Pemdes ttg Data
Nama dan Kode Desa tgl 23 Juni 2016, Perbaikan nama hasil validasi
data nama desa tgl 28 April 2017 dan rekomendasi Ditjen Bina Pemdes
No.146/3672/BPD tgl 21 Juni 2017"
14.06.12.2006,,,,,,6 Giti,,
14.06.13,,,,13Bonai Darussalam,-,7,,Perda No. 4 / 2005
14.06.13.2001,,,,,,1 Teluk Sono,,"Semula wil. Kec. Kunto Darussalam, Perbaikan nama sesuai Validasi
Ditjen BPD tgl 23 Juni 2016, Perbaikan nama hasil validasi data nama
desa tgl 28 April 2017 dan rekomendasi Ditjen Bina Pemdes
No.146/3672/BPD tgl 21 Juni 2017"
14.06.13.2002,,,,,,2 Sontang,,Semula wil. Kec. Kunto Darussalam
14.06.13.2003,,,,,,3 Bonai,,Semula wil. Kec. Kunto Darussalam
14.06.13.2004,,,,,,4 Rawa Makmur,,"Semula wil. Kec. Kunto Darussalam, Perbaikan nama sesuai Validasi
Ditjen BPD tgl 23 Juni 2016, Perbaikan nama hasil validasi data nama
desa tgl 28 April 2017 dan rekomendasi Ditjen Bina Pemdes
No.146/3672/BPD tgl 21 Juni 2017"
14.06.13.2005,,,,,,5 Pauh,,Perda No. 14/2007
14.06.13.2006,,,,,,6 Kasang Padang,,"Perda No. 14/2007, Perbaikan nama sesuai Validasi Ditjen BPD tgl 23
Juni 2016, Perbaikan nama hasil validasi data nama desa tgl 28 April
2017 dan rekomendasi Ditjen Bina Pemdes No.146/3672/BPD tgl 21
Juni 2017"
,,,,,,,,
