K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
52.04.20.2003,,,,,,3 Kalabeso,,
52.04.20.2004,,,,,,4 Labuhan Burung,,
52.04.20.2005,,,,,,5 Pulau Kaung,,
52.04.20.2006,,,,,,6 Buin Baru,,
52.04.21,,,,16Rhee,-,4,,
52.04.21.2001,,,,,,1 Rhee,,
52.04.21.2002,,,,,,2 Sampe,,
52.04.21.2003,,,,,,3 Luk,,
52.04.21.2004,,,,,,4 Rhee Loka,,
52.04.22,,,,17Unter Iwes,-,8,,
52.04.22.2001,,,,,,1 Pelat,,
52.04.22.2002,,,,,,2 Kerekeh,,
52.04.22.2003,,,,,,3 Boak,,
52.04.22.2004,,,,,,4 Jorok,,
52.04.22.2005,,,,,,5 Kerato,,
52.04.22.2006,,,,,,6 Pungka,,
52.04.22.2007,,,,,,7 Uma Beringin,,
52.04.22.2008,,,,,,8 Nijang,,Pemekaran Wilayah Desa Kerato Perda No. 11/2010
52.04.23,,,,18Moyo Utara,-,6,,
52.04.23.2001,,,,,,1 Pungkit,,
52.04.23.2002,,,,,,2 Sebewe,,
52.04.23.2003,,,,,,3 Penyaring,,
52.04.23.2004,,,,,,4 Kukin,,
52.04.23.2005,,,,,,5 Baru Tahan,,
52.04.23.2006,,,,,,6 Songkar,,
52.04.24,,,,19Maronge,-,4,,
52.04.24.2001,,,,,,1 Simu,,
52.04.24.2002,,,,,,2 Maronge,,
52.04.24.2003,,,,,,3 Pemasar,,"Perbaikan nama desa semula Pamasar menjadi Pemasar, sesuai:
Surat Gubernur Provinsi Nusa Tenggara Barat
No.120/390/Pem&Otda/2022 Tanggal 31 Agustus 2022; dan
BA Verifikasi dan Pemutakhiran Data Desa di Kabupaten Sumbawa
No.140/403/DPMD/2022 Tanggal 25 Agustus 2022."
52.04.24.2004,,,,,,4 Labuhan Sangoro,,
52.04.25,,,,20Tarano,-,8,,
52.04.25.2001,,,,,,1 Bantulanteh,,"Perbaikan nama desa semula Bantulante menjadi Bantulanteh, sesuai:
Surat Gubernur Provinsi Nusa Tenggara Barat
No.120/390/Pem&Otda/2022 Tanggal 31 Agustus 2022; dan
BA Verifikasi dan Pemutakhiran Data Desa di Kabupaten Sumbawa
No.140/403/DPMD/2022 Tanggal 25 Agustus 2022."
52.04.25.2002,,,,,,2 Labuhan Bontong,,
52.04.25.2003,,,,,,3 Labuhan Aji,,
