NO,KODE,"NAMA PROVINSI,
KABUPATEN / KOTA,
KECAMATAN",IBUKOTA,J U M L A H,,,,,"LUAS
WILAYAH
(Km2) *","JUMLAH
PENDUDUK
(Jiwa) **",K ET E R A N G A N
,,,,KAB,KOTA,KEC,KEL,DESA,,,
,14.04.11,11 Batang Tuaka,,,,,1,12,,,
,14.04.12,12 Gaung,,,,,1,15,,,
,14.04.13,13 Tembilahan Hulu,,,,,2,4,,,
,14.04.14,14 Kemuning,,,,,1,11,,,
,14.04.15,15 Pelangiran,,,,,1,15,,,
,14.04.16,16 Teluk Belengkong,,,,,,13,,,
,14.04.17,17 Pulau Burung,,,,,,14,,,
,14.04.18,18 Concong,,,,,1,5,,,Perda No. 16/2005
,14.04.19,19 Kempas,,,,,2,10,,,Perda No. 16/2005
,14.04.20,20 Sungai Batang,,,,,1,7,,,Perda No. 16/2005
,14.05,5 KAB. PELALAWAN,Pangkalan Kerinci,,,12,14,104,13.262,402.303,"Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
,14.05.01,1 Ukui,,,,,1,11,,,
,14.05.02,2 Pangkalan Kerinci,,,,,3,4,,,Perda No. 6/2005
,14.05.03,3 Pangkalan Kuras,,,,,1,16,,,
,14.05.04,4 Pangkalan Lesung,,,,,1,9,,,
,14.05.05,5 Langgam,,,,,1,7,,,
,14.05.06,6 Pelalawan,,,,,1,8,,,
,14.05.07,7 Kerumutan,,,,,1,9,,,
,14.05.08,8 Bunut,,,,,1,9,,,Perda No. 6/2005
,14.05.09,9 Teluk Meranti,,,,,1,8,,,
,14.05.10,10 Kuala Kampar,,,,,1,9,,,
,14.05.11,11 Bandar Sei Kijang,,,,,1,4,,,Perda No. 6/2005
,14.05.12,12 Bandar Petalangan,,,,,1,10,,,Perda No. 6/2005
,14.06,6 KAB. ROKAN HULU,Pasir Pengarairan,,,16,6,139,7.658,561.313,"Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
,14.06.01,1 Ujung Batu,,,,,1,4,,,
,14.06.02,2 Rokan IV Koto,,,,,1,13,,,
,14.06.03,3 Rambah,,,,,1,13,,,
,14.06.04,4 Tambusai,,,,,1,11,,,
,14.06.05,5 Kepenuhan,,,,,1,9,,,
,14.06.06,6 Kunto Darussalam,,,,,1,9,,,
,14.06.07,7 Rambah Samo,,,,,,14,,,
,14.06.08,8 Rambah Hilir,,,,,,13,,,
,14.06.09,9 Tambusai Utara,,,,,,11,,,
