NO,KODE,"NAMA PROVINSI,
KABUPATEN / KOTA,
KECAMATAN",IBUKOTA,J U M L A H,,,,,"LUAS
WILAYAH
(Km2) *","JUMLAH
PENDUDUK
(Jiwa) **",K ET E R A N G A N
,,,,KAB,KOTA,KEC,KEL,DESA,,,
,73.03.03,3 Eremerasa,,,,,,9,,,
,73.03.04,4 Tompo Bulu,,,,,4,6,,,
,73.03.05,5 Pajukukang,,,,,,10,,,
,73.03.06,6 Uluere,,,,,,6,,,
,73.03.07,7 Gantarang Keke,,,,,2,4,,,
,73.03.08,8 Sinoa,,,,,,6,,,
,73.04,4 KAB. JENEPONTO,Jeneponto,,,11,31,82,796,416.345,"Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
,73.04.01,1 Bangkala,,,,,4,10,,,
,73.04.02,2 Tamalatea,,,,,6,6,,,
,73.04.03,3 Binamu,,,,,12,1,,,
,73.04.04,4 Batang,,,,,2,4,,,
,73.04.05,5 Kelara,,,,,5,5,,,
,73.04.06,6 Bangkala Barat,,,,,1,7,,,
,73.04.07,7 Bontoramba,,,,,1,11,,,
,73.04.08,8 Turatea,,,,,,11,,,
,73.04.09,9 Arungkeke,,,,,,7,,,
,73.04.10,10 Rumbia,,,,,,12,,,
,73.04.11,11 Tarowang,,,,,,8,,,"Pemekaran Kec., Perda No. 9/2006"
,73.05,5 KAB. TAKALAR,Takalar,,,12,24,86,555,315.636,"Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
,73.05.01,1 Mappakasunggu,,,,,1,3,,,
,73.05.02,2 Mangarabombang,,,,,1,5,,,
,73.05.03,3 Polongbangkeng Selatan,,,,,6,5,,,"Perbaikan nama kecamatan semula Polombangkeng Selatan menjadi
Polongbangkeng Selatan, sesuai:
Perda No. 06 Tahun 2019; dan
Surat Sekda Kab. Takalar No. 005/1217/Umum tgl 10 Agustus 2022."
,73.05.04,4 Polongbangkeng Utara,,,,,6,4,,,"Perbaikan nama kecamatan semula Polombangkeng Utara menjadi
Polongbangkeng Utara, sesuai:
Perda No. 06 Tahun 2019; dan
Surat Sekda Kab. Takalar No. 005/1217/Umum tgl 10 Agustus 2022."
,73.05.05,5 Galesong Selatan,,,,,,13,,,
,73.05.06,6 Galesong Utara,,,,,1,13,,,
,73.05.07,7 Pattallassang,,,,,9,,,,
,73.05.08,8 Sanrobone,,,,,,6,,,
,73.05.09,9 Galesong,,,,,,17,,,
