NO,KODE,"NAMA PROVINSI,
KABUPATEN / KOTA,
KECAMATAN",IBUKOTA,J U M L A H,,,,,"LUAS
WILAYAH
(Km2) *","JUMLAH
PENDUDUK
(Jiwa) **",K ET E R A N G A N
,,,,KAB,KOTA,KEC,KEL,DESA,,,
,11.10,10 KAB. ACEH SINGKIL,Singkil,,,11,0,116,1.853,129.674,"Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
,11.10.01,1 Pulau Banyak,,,,,,3,,,
,11.10.02,2 Simpang Kanan,,,,,,25,,,
,11.10.04,3 Singkil,,,,,,16,,,
,11.10.06,4 Gunung Meriah,,,,,,25,,,
,11.10.09,5 Kota Baharu,,,,,,9,,,
,11.10.10,6 Singkil Utara,,,,,,7,,,
,11.10.11,7 Danau Paris,,,,,,6,,,
,11.10.12,8 Suro Makmur,,,,,,11,,,
,11.10.13,9 Singkohor,,,,,,6,,,
,11.10.14,10 Kuala Baru,,,,,,4,,,Qanun No.3/2004
,11.10.16,11 Pulau Banyak Barat,,,,,,4,,,Pemekaran Kec. Pulau Banyak Perda No. 2/2010
,11.11,11 KAB. BIREUEN,Bireun,,,17,0,609,1.797,445.503,"Luas Wilayah Definitif, PBW sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
,11.11.01,1 Samalanga,,,,,,46,,,
,11.11.02,2 Jeunieb,,,,,,43,,,
,11.11.03,3 Peudada,,,,,,52,,,
,11.11.04,4 Jeumpa,,,,,,42,,,
,11.11.05,5 Peusangan,,,,,,69,,,
,11.11.06,6 Makmur,,,,,,27,,,
,11.11.07,7 Gandapura,,,,,,40,,,
,11.11.08,8 Pandrah,,,,,,19,,,
,11.11.09,9 Juli,,,,,,36,,,
,11.11.10,10 Jangka,,,,,,46,,,
,11.11.11,11 Simpang Mamplam,,,,,,41,,,
,11.11.12,12 Peulimbang,,,,,,22,,,
,11.11.13,13 Kota Juang,,,,,,23,,,
,11.11.14,14 Kuala,,,,,,20,,,
,11.11.15,15 Peusangan Siblah Krueng,,,,,,21,,,
,11.11.16,16 Peusangan Selatan,,,,,,21,,,
,11.11.17,17 Kuta Blang,,,,,,41,,,
,11.12,12 KAB. ACEH BARAT DAYA,Blangpidie,,,9,0,152,1.882,153.515,"Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
