NO,KODE,"P R O V I N S I
*)",J U M L A H,,,,,"LUAS
WILAYAH
(Km2)
**)","JUMLAH
PENDUDUK
(Jiwa)
***)","JUMLAH
PULAU (****)"
,,,KAB,KOTA,KEC,KEL,DESA,,,
1,2,3,4,5,6,7,8,9,10,11
"1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22","11
12
13
14
15
16
17
18
19
21
31
32
33
34
35
36
51
52
53
61
62
63","ACEH
SUMATERA UTARA
SUMATERA BARAT
RIAU
JAMBI
SUMATERA SELATAN
BENGKULU
LAMPUNG
KEPULAUAN BANGKA BELITUNG
KEPULAUAN RIAU
DKI JAKARTA
JAWA BARAT
JAWA TENGAH
DAERAH ISTIMEWA YOGYAKARTA
JAWA TIMUR
BANTEN
BALI
NUSA TENGGARA BARAT
NUSA TENGGARA TIMUR
KALIMANTAN BARAT
KALIMANTAN TENGAH
KALIMANTAN SELATAN","18
25
12
10
9
13
9
13
6
5
1
18
29
4
29
4
8
8
21
12
13
11","5
8
7
2
2
4
1
2
1
2
5
9
6
1
9
4
1
2
1
2
1
2","290
455
179
172
144
241
129
229
47
80
44
627
576
78
666
155
57
117
315
174
136
156","0
693
230
271
171
403
172
205
84
144
267
646
753
46
773
314
80
145
305
99
139
144","6.500
5.417
1.035
1.591
1.414
2.855
1.341
2.446
309
275
0
5.311
7.810
392
7.721
1.238
636
1.021
3.137
2.046
1.432
1.872","56.834,746
72.460,744
42.119,542
89.935,896
49.026,579
86.771,684
20.128,340
33.570,264
16.690,129
8.269,708
660,982
37.044,858
34.337,489
3.170,645
48.036,840
9.352,767
5.590,150
19.675,889
46.446,644
147.037,037
153.443,908
37.135,054","5.379.937
15.305.230
5.624.143
6.646.390
3.642.763
8.646.686
2.047.110
8.901.566
1.472.427
2.101.215
11.249.585
48.637.180
37.488.277
3.677.522
41.144.067
12.145.161
4.287.193
5.473.507
5.514.216
5.482.046
2.672.790
4.141.533","363
229
219
144
14
24
9
172
507
2,028
113
30
71
33
512
81
34
403
609
251
71
165"
