K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
72.08.12.2017,,,,,,17 Gurinda,,Pemekaran desa Ogobayas Perda No. 13/2012
72.08.12.2018,,,,,,18 Kotaraya Tenggara,,Pemekaran desa Kotaraya Timur Perda No. 13/2012
72.08.13,,,,13Toribulu,-,9,,Perda No. 12/2006
72.08.13.2001,,,,,,1 Tomoli,,Semula wil. Kec. Ampibabo
72.08.13.2002,,,,,,2 Toribulu,,Semula wil. Kec. Ampibabo
72.08.13.2003,,,,,,3 Sienjo,,Semula wil. Kec. Ampibabo
72.08.13.2004,,,,,,4 Pinotu,,Semula wil. Kec. Ampibabo
72.08.13.2005,,,,,,5 Singura,,Semula wil. Kec. Ampibabo
72.08.13.2006,,,,,,6 Tomoli Selatan,,Perda No. 12/2006
72.08.13.2007,,,,,,7 Sibalago,,Perda No. 21/2007
72.08.13.2008,,,,,,8 Toribulu Selatan,,Pemekaran wilayah Desa Toribulu Perda No. 5/2012
72.08.13.2009,,,,,,9 Tomoli Utara,,Pemekaran wilayah Desa Tomoli Perda No. 5/2012
72.08.14,,,,14Taopa,-,11,,Perda No. 13/2006
72.08.14.2001,,,,,,1 Karya Agung,,Semula wil. Kec. Moutong
72.08.14.2002,,,,,,2 Nunurantai,,Semula wil. Kec. Moutong
72.08.14.2003,,,,,,3 Palapi,,Semula wil. Kec. Moutong
72.08.14.2004,,,,,,4 Taopa,,Semula wil. Kec. Moutong
72.08.14.2005,,,,,,5 Tuladenggi Sibatang,,Semula wil. Kec. Moutong
72.08.14.2006,,,,,,6 Tompo,,Semula wil. Kec. Moutong
72.08.14.2007,,,,,,7 Taopa Utara,,Perda No. 22/2007
72.08.14.2008,,,,,,8 Bilalea,,Pemekaran wilayah Desa Palapi Perda No. 5/2012
72.08.14.2009,,,,,,9 Taopa Barat,,Pemekaran wilayah Desa Taopa Perda No. 5/2012
72.08.14.2010,,,,,,10 Paria,,Pemekaran wilayah Desa Karya Agung Perda No. 5/2012
72.08.14.2011,,,,,,11 Karya Abadi,,Pemekaran wilayah Desa Karya Agung Perda No. 5/2012
72.08.15,,,,15Balinggi,-,9,,Perda No. 14/2007
72.08.15.2001,,,,,,1 Malakosa,,Semula wil. Kec. Sausu
72.08.15.2002,,,,,,2 Balinggi Jati,,Semula wil. Kec. Sausu
72.08.15.2003,,,,,,3 Balinggi,,Semula wil. Kec. Sausu
72.08.15.2004,,,,,,4 Suli,,Semula wil. Kec. Sausu
72.08.15.2005,,,,,,5 Suli Indah,,Perda No. 21/2007
72.08.15.2006,,,,,,6 Beraban,,Perda No. 22/2007
72.08.15.2007,,,,,,7 Lebagu,,Pemekaran Desa Malakosa Perda No. 3/2011
72.08.15.2008,,,,,,8 Tumpapa Indah,,Pemekaran Desa Malakosa Perda No. 3/2011
72.08.15.2009,,,,,,9 Catur Karya,,Pemekaran desa Balinggi Perda No. 13/2012
72.08.16,,,,16Parigi Barat,-,6,,Perda No. 15/2007
72.08.16.2001,,,,,,1 Parigimpu'u,,Semula wil. Kec. Parigi
72.08.16.2002,,,,,,2 Baliara,,Semula wil. Kec. Parigi
72.08.16.2003,,,,,,3 Kayuboko,,Semula wil. Kec. Parigi
72.08.16.2004,,,,,,4 Jono Kalora,,Semula wil. Kec. Parigi
72.08.16.2005,,,,,,5 Air Panas,,Semula wil. Kec. Parigi
