NO,KODE,"NAMA PROVINSI,
KABUPATEN / KOTA,
KECAMATAN",IBUKOTA,J U M L A H,,,,,"LUAS
WILAYAH
(Km2) *","JUMLAH
PENDUDUK
(Jiwa) **",K ET E R A N G A N
,,,,KAB,KOTA,KEC,KEL,DESA,,,
,11.02.10,10 Semadam,,,,,,19,,,
,11.02.11,11 Babul Rahmah,,,,,,27,,,
,11.02.12,12 Ketambe,,,,,,25,,,Qanun No. 19/2006
,11.02.13,13 Deleng Pokhkisen,,,,,,22,,,Qanun No. 19/2006
,11.02.14,14 Lawe Sumur,,,,,,18,,,Qanun No. 19/2006
,11.02.15,15 Tanoh Alas,,,,,,14,,,Qanun No. 19/2006
,11.02.16,16 Leuser,,,,,,23,,,Qanun No. 19/2006
,11.03,3 KAB. ACEH TIMUR,Idi Rayeuk,,,24,0,513,5.409,434.929,"PP No. 5/2007 tentang Pemindahan Ibukota Kab. Aceh Timur dari
wilayah Kota Langsa ke wilayah Kec. Idi Rayeuk Kab. Aceh Timur.
Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
,11.03.01,1 Darul Aman,,,,,,45,,,
,11.03.02,2 Julok,,,,,,37,,,
,11.03.03,3 Idi Rayeuk,,,,,,35,,,
,11.03.04,4 Birem Bayeun,,,,,,27,,,
,11.03.05,5 Serbajadi,,,,,,17,,,
,11.03.06,6 Nurussalam,,,,,,31,,,
,11.03.07,7 Peureulak,,,,,,38,,,
,11.03.08,8 Rantau Selamat,,,,,,14,,,
,11.03.09,9 Simpang Ulim,,,,,,23,,,
,11.03.10,10 Ranto Peureulak,,,,,,23,,,"Perbaikan nama kec. semula Rantau Peureulak menjadi Ranto
Peureulak, sesuai:
PP No. 49 Tahun 1991; dan
Surat Sekda Pem. Aceh No. 140/14270 tgl 07 September 2022."
,11.03.11,11 Pante Bidari,,,,,,25,,,
,11.03.12,12 Madat,,,,,,26,,,
,11.03.13,13 Indra Makmu,,,,,,13,,,
,11.03.14,14 Idi Tunong,,,,,,25,,,
,11.03.15,15 Banda Alam,,,,,,16,,,
,11.03.16,16 Peudawa,,,,,,17,,,
,11.03.17,17 Peureulak Timur,,,,,,20,,,
,11.03.18,18 Peureulak Barat,,,,,,15,,,
,11.03.19,19 Sungai Raya,,,,,,13,,,
,11.03.20,20 Simpang Jernih,,,,,,8,,,
,11.03.21,21 Darul Ihsan,,,,,,16,,,
,11.03.22,22 Darul Falah,,,,,,11,,,Qanun No. 5/2007
