K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
73,SULAWESI SELATAN,,,,,,,
73.26,KAB. TORAJA UTARA,,,21,40,111,"1.289,134","UU No. 28/2008,
Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
73.26.01,,,,1Rantepao,9,2,,SK Gub No. 2067A Th 1961
73.26.01.1001,,,,,1Laang Tanduk,,,
73.26.01.1002,,,,,2Rantepao,,,
73.26.01.1003,,,,,3Mentirotiku,,,
73.26.01.1004,,,,,4Manggalo,,,
73.26.01.1005,,,,,5Pasale,,,
73.26.01.1006,,,,,6Singki',,,
73.26.01.1007,,,,,7Karassik,,,
73.26.01.1008,,,,,8Penanian,,,
73.26.01.1009,,,,,9Rante Pasele,,,
73.26.01.2010,,,,,,1 Limbong,,
73.26.01.2011,,,,,,2 Saloso,,
73.26.02,,,,2Sesean,5,4,,SK Gub No. 2067A Th 1961
73.26.02.1001,,,,,1Bori,,,
73.26.02.1002,,,,,2Pangli,,,
73.26.02.2003,,,,,,1 Buntu Lobo',,"Koreksi nama 'Butu Lobo' Srt Ditjen BPD No 140/5118/BPD tgl 18 Juli
2019"
73.26.02.1004,,,,,3Palawa',,,
73.26.02.1005,,,,,4Deri',,,
73.26.02.2006,,,,,,2 Parinding,,
73.26.02.2007,,,,,,3 Bori' Ranteletok,,"Desa menjadi kelurahan, PMD, Perubahan status Kelurahan menjadi
Desa sesuai Surat Bupati No. 140/10104/BPMPL tgl 31 Oktober 2015,
Koreksi nama 'Bori Rante Letok' Srt Ditjen BPD No 140/5118/BPD tgl 18
Juli 2019"
73.26.02.2008,,,,,,4 Bori' Lombongan,,"Perbaikan nama sesuai Surat Bup No. 140/0456/BPMPL tgl 13 April
2016"
73.26.02.1009,,,,,5Pangli Selatan,,,
73.26.03,,,,3Nanggala,1,8,,Perda No. 18/2000
73.26.03.2001,,,,,,1 Nanggala,,
73.26.03.2002,,,,,,2 Tandung Nanggala,,
73.26.03.2003,,,,,,3 Lili'kira',,
73.26.03.1004,,,,,"1Nanggala Sanpiak
Salu",,,
73.26.03.2005,,,,,,4 Karre Limbong,,"Perbaikan nama sesuai Surat Bup No. 140/0456/BPMPL tgl 13 April
2016"
73.26.03.2006,,,,,,5 Rante,,
,,,,,,,,
