K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
17,BENGKULU,,,,,,,
17.08,KAB. KEPAHIANG,,,8,12,105,"738,965","Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
17.08.01,,,,1Bermani Ilir,1,18,,
17.08.01.2001,,,,,,1 Kota Agung,,
17.08.01.2002,,,,,,2 Kembang Seri,,
17.08.01.2003,,,,,,3 Pagar Agung,,
17.08.01.2004,,,,,,4 Embong Ijuk,,
17.08.01.2005,,,,,,5 Gunung Agung,,
17.08.01.2006,,,,,,6 Talang Pito,,
17.08.01.1007,,,,,1Keban Agung,,,Menjadi Kel. Perda No. 19/2007
17.08.01.2008,,,,,,7 Cinto Mandi,,
17.08.01.2009,,,,,,8 Lembur Lama,,
17.08.01.2010,,,,,,9 Taba Baru,,
17.08.01.2011,,,,,,10 Bukit Menyan,,
,,,,,,Lembur Baru,,"Menjadi wil Kec. Muara Kemumu, Perda No. 11/2005"
,,,,,,Benuang Galing,,"Menjadi wil Kec. Seberang Musi, Perda No. 11/2005"
,,,,,,Batu Kalung,,"Menjadi wil Kec. Muara Kemumu, Perda No. 11/2005"
,,,,,,Batu Bandung,,"Menjadi wil Kec. Muara Kemumu, Perda No. 11/2005"
17.08.01.2016,,,,,,11 Batu Belarik,,
17.08.01.2017,,,,,,12 Embong Sido,,
,,,,,,Air Selimang,,"Menjadi wil Kec. Seberang Musi, Perda No. 11/2005"
,,,,,,Tebat Laut,,"Menjadi wil Kec. Seberang Musi, Perda No. 11/2005"
,,,,,,Sosokan Baru,,"Menjadi wil Kec. Muara Kemumu, Perda No. 11/2005"
,,,,,,Sosokan Taba,,"Menjadi wil Kec. Muara Kemumu, Perda No. 11/2005"
17.08.01.2022,,,,,,13 Talang Sawah,,Perda No. 10/2005
17.08.01.2023,,,,,,14 Sosokan Cinta Mandi,,Perda No. 10/2005
17.08.01.2024,,,,,,15 Muara Langkap,,Perda No. 10/2005
17.08.01.2025,,,,,,16 Air Raman,,Perda No. 10/2005
,,,,,,Renah Kurung,,"Perda No. 10/2005, Menjadi wil. Kec. Muara Kemumu, Perda No.
11/2005"
,,,,,,Talang Tige,,"Perda No. 10/2005, Menjadi wil. Kec. Muara Kemumu, Perda No.
11/2005"
17.08.01.2028,,,,,,17 Langgar Jaya,,"Pemekaran sebagian Desa Cinta Mandi, Perda No. 5/2012"
17.08.01.2029,,,,,,18 Cinta Mandi Baru,,"Pemekaran sebagian Desa Cinta Mandi, Perda No. 5/2012"
17.08.02,,,,2Ujan Mas,1,16,,
17.08.02.2001,,,,,,1 Daspeta,,
17.08.02.1002,,,,,1Ujan Mas Atas,,,Menjadi Kel. Perda No. 19/2007
17.08.02.2003,,,,,,2 Suro Lembak,,
