K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
32.01.03.2010,,,,,,8 Gunungsari,,
32.01.03.2011,,,,,,9 Tangkil,,
32.01.03.2012,,,,,,10 Sukahati,,
32.01.03.2013,,,,,,11 Hambalang,,
32.01.03.2014,,,,,,12 Pasir Mukti,,Koreksi penulisan Perda No. 3/2003
32.01.04,,,,4Sukaraja,-,13,,
32.01.04.2001,,,,,,1 Gununggeulis,,
32.01.04.2002,,,,,,2 Cilebut Timur,,
32.01.04.2003,,,,,,3 Cilebut Barat,,
32.01.04.2004,,,,,,4 Cibanon,,
32.01.04.2005,,,,,,5 Nagrak,,
32.01.04.2006,,,,,,6 Sukatani,,
32.01.04.2007,,,,,,7 Sukaraja,,
32.01.04.2008,,,,,,8 Cikeas,,
32.01.04.2009,,,,,,9 Pasir Jambu,,
32.01.04.2010,,,,,,10 Cimandala,,
32.01.04.2011,,,,,,11 Cijujung,,
32.01.04.2012,,,,,,12 Cadasngampar,,
32.01.04.2013,,,,,,13 Pasirlaja,,Koreksi penulisan Perda No. 3/2003
32.01.05,,,,5Babakan Madang,-,9,,
32.01.05.2001,,,,,,1 Cijayanti,,
32.01.05.2002,,,,,,2 Sumurbatu,,
32.01.05.2003,,,,,,3 Sentul,,
32.01.05.2004,,,,,,4 Karang Tengah,,"Koreksi penulisan Perda No. 3/2003
Perbaikan nama desa semula Karangtengah menjadi Karang Tengah
sesuai Surat Rekom Pemdes No. 145/2979/BPD Tanggal 13 Juni 2022
Hal Penyampaian Data Desa Hasil Verifikasi dan Validasi Penamaan
Desa."
32.01.05.2005,,,,,,5 Cipambuan,,
32.01.05.2006,,,,,,6 Kadumanggu,,
32.01.05.2007,,,,,,7 Citaringgul,,
32.01.05.2008,,,,,,8 Babakan Madang,,
32.01.05.2009,,,,,,9 Bojong Koneng,,
32.01.06,,,,6Jonggol,-,14,,
32.01.06.2001,,,,,,1 Sukamaju,,
32.01.06.2002,,,,,,2 Sirnagalih,,
32.01.06.2003,,,,,,3 Singajaya,,Koreksi penulisan Perda No. 3/2003
32.01.06.2004,,,,,,4 Sukasirna,,
32.01.06.2005,,,,,,5 Sukanegara,,
32.01.06.2006,,,,,,6 Sukamanah,,
32.01.06.2007,,,,,,7 Weninggalih,,
