K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
61.01.15.2003,,,,,,3 Sebawi,,
61.01.15.2004,,,,,,4 Sepuk Tanjung,,
61.01.15.2005,,,,,,5 Sebangun,,
61.01.15.2006,,,,,,6 Sempalai Sebedang,,
61.01.15.2007,,,,,,7 Tempatan,,
61.01.16,,,,16Jawai Selatan,-,9,,
61.01.16.2001,,,,,,1 Jawai Laut,,
61.01.16.2002,,,,,,2 Jelu Air,,
61.01.16.2003,,,,,,3 Matang Terap,,
61.01.16.2004,,,,,,4 Suah Api,,
61.01.16.2005,,,,,,5 Sarilaba A,,"perbaikan nama dari Sari Laba A menjadi Sari Laba A, Surat Bup
Sambas No 146.1/162/PD/DINSOSPMD tgl 1 februari 2021,Surat
Sesditjen Bina Pemerintahan Desa No 145/2430/BPD tgl 24 Mei 2021"
61.01.16.2006,,,,,,6 Sarilaba B,,"perbaikan nama dari Sari Laba B menjadi Sarilaba B, Surat Bup
Sambas No 146.1/162/PD/DINSOSPMD tgl 1 februari 2021,Surat
Sesditjen Bina Pemerintahan Desa No 145/2430/BPD tgl 24 Mei 2021"
61.01.16.2007,,,,,,7 Semperiuk A,,
61.01.16.2008,,,,,,8 Semperiuk B,,
61.01.16.2009,,,,,,9 Sabaran,,
61.01.17,,,,17Tangaran,-,8,,Perda No. 12/2006.
61.01.17.2001,,,,,,1 Tangaran,,Semula wil. Kec. Teluk Kramat
61.01.17.2002,,,,,,2 Simpang Empat,,Semula wil. Kec. Teluk Kramat
61.01.17.2003,,,,,,3 Merabuan,,Semula wil. Kec. Teluk Kramat
61.01.17.2004,,,,,,4 Semata,,Semula wil. Kec. Teluk Kramat
61.01.17.2005,,,,,,5 Merpati,,Semula wil. Kec. Teluk Kramat
61.01.17.2006,,,,,,6 Pancur,,Semula wil. Kec. Teluk Kramat
61.01.17.2007,,,,,,7 Arung Parak,,Semula wil. Kec. Teluk Kramat
61.01.17.2008,,,,,,8 Arung Medang,,Pemekaran sebagian wil Desa Pancur Perda No. 5/2012
61.01.18,,,,18Salatiga,-,5,,Perda No. 5/2007
61.01.18.2001,,,,,,1 Parit Baru,,Semula wil. Kec. Pemangkat
61.01.18.2002,,,,,,2 Sungai Toman,,Semula wil. Kec. Pemangkat
61.01.18.2003,,,,,,3 Serunai,,Semula wil. Kec. Pemangkat
61.01.18.2004,,,,,,4 Serumpun,,Semula wil. Kec. Pemangkat
61.01.18.2005,,,,,,5 Salatiga,,Semula wil. Kec. Pemangkat
61.01.19,,,,19Selakau Timur,-,4,,Perda No. 5/2007
61.01.19.2001,,,,,,1 Gelik,,Semula wil. Kec. Selakau
61.01.19.2002,,,,,,2 Seranggam,,Semula wil. Kec. Selakau
61.01.19.2003,,,,,,3 Selakau Tua,,Semula wil. Kec. Selakau
61.01.19.2004,,,,,,4 Buduk Sempadang,,Semula wil. Kec. Selakau
