NO,KODE,"NAMA PROVINSI,
KABUPATEN / KOTA,
KECAMATAN",IBUKOTA,J U M L A H,,,,,"LUAS
WILAYAH
(Km2) *","JUMLAH
PENDUDUK
(Jiwa) **",K ET E R A N G A N
,,,,KAB,KOTA,KEC,KEL,DESA,,,
,91.15.12,8 Wapoga,,,,,,7,,,"Pemekaran Kec. Inggerus Perda No. 4/2009, Srt Gub. No.
135/3781/SET Tgl. 14 Sept' 2012"
,91.15.13,9 Demba,,,,,,10,,,"Pemekaran Kec. Masirei Perda No. 4/2009, Srt Gub. No.
135/3781/SET Tgl. 14 Sept' 2012"
,91.15.14,10 Wonti,,,,,,10,,,Pemekaran Kec. Demba Perda No. 3/2011
,91.15.15,11 Soyoi Mambai,,,,,,10,,,Pemekaran Kec. Risei Sayati Perda No. 3/2011
,91.16,16 KAB. BOVEN DIGOEL,Tanah Merah,,,,,,,,"Luas Wilayah Indikatif sesuai Surat Badan Informasi Geospasial No.
B-8.31/PBW-BIG/IGD.04.04/6/2021 Tanggal 8 Juni 2021"
,,Waropko,,,,,,,,,"Menjadi wil. Prov Papua Selatan, UU No. 14 Tahun 2022 tentang
Pembentukan Provinsi Papua Selatan"
,,Yaniruma,,,,,,,,,"Menjadi wil. Prov Papua Selatan, UU No. 14 Tahun 2022 tentang
Pembentukan Provinsi Papua Selatan"
,,Mandobo,,,,,,,,,"Menjadi wil. Prov Papua Selatan, UU No. 14 Tahun 2022 tentang
Pembentukan Provinsi Papua Selatan"
,,Manggelum,,,,,,,,,"Menjadi wil. Prov Papua Selatan, UU No. 14 Tahun 2022 tentang
Pembentukan Provinsi Papua Selatan"
,,Mindiptana,,,,,,,,,"Menjadi wil. Prov Papua Selatan, UU No. 14 Tahun 2022 tentang
Pembentukan Provinsi Papua Selatan"
,,Ninati,,,,,,,,,"Menjadi wil. Prov Papua Selatan, UU No. 14 Tahun 2022 tentang
Pembentukan Provinsi Papua Selatan"
,,Sesnuk,,,,,,,,,"Menjadi wil. Prov Papua Selatan, UU No. 14 Tahun 2022 tentang
Pembentukan Provinsi Papua Selatan"
,,Subur,,,,,,,,,"Menjadi wil. Prov Papua Selatan, UU No. 14 Tahun 2022 tentang
Pembentukan Provinsi Papua Selatan"
,,Jair,,,,,,,,,"Menjadi wil. Prov Papua Selatan, UU No. 14 Tahun 2022 tentang
Pembentukan Provinsi Papua Selatan"
,,Kawagit,,,,,,,,,"Menjadi wil. Prov Papua Selatan, UU No. 14 Tahun 2022 tentang
Pembentukan Provinsi Papua Selatan"
,,Ki,,,,,,,,,"Menjadi wil. Prov Papua Selatan, UU No. 14 Tahun 2022 tentang
Pembentukan Provinsi Papua Selatan"
,,Kombay,,,,,,,,,"Menjadi wil. Prov Papua Selatan, UU No. 14 Tahun 2022 tentang
Pembentukan Provinsi Papua Selatan"
,,Kombut,,,,,,,,,"Menjadi wil. Prov Papua Selatan, UU No. 14 Tahun 2022 tentang
Pembentukan Provinsi Papua Selatan"
,,Kouh,,,,,,,,,"Menjadi wil. Prov Papua Selatan, UU No. 14 Tahun 2022 tentang
Pembentukan Provinsi Papua Selatan"
,,Ambatkwi,,,,,,,,,"Menjadi wil. Prov Papua Selatan, UU No. 14 Tahun 2022 tentang"
