K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
,,,,,,Teluk Pakedai Hulu,,
,,,,,,Teluk Pakedai Satu,,
,,,,,,Teluk Pakedai Dua,,
,,,,,,Kuala Karang,,
,,,,,,Seruat,,
,,,,,,Sungai Deras,,
,,,,,,Selat Remis,,
,,,,,,Madura,,
,,,,,,Pasir Putih,,
,,,,,,Teluk Garam,,
,,,,,,Tanjung Bunga,,
,,,,,,Sungai Nibung,,
,,,,,,Arus Deras,,
,,,,,,Sungai Nipah,,
,,,,Sungai Kakap,,,,"Menjadi Kab. Kubu Raya, UU No. 35/2007"
,,,,,,Sungai Kakap,,
,,,,,,Sungai Itik,,
,,,,,,Jeruju Besar,,
,,,,,,Sungai Kupah,,
,,,,,,Sungai Rengas,,
,,,,,,Pal Sembilan,,
,,,,,,Sungai Belidak,,
,,,,,,Kalimas,,
,,,,,,Punggur Kecil,,
,,,,,,Punggur Besar,,
,,,,,,Tanjung Saleh,,
,,,,,,Sepuk Laut,,
,,,,Terentang,,,,"Menjadi Kab. Kubu Raya, UU No. 35/2007"
,,,,,,Teluk Bayur,,
,,,,,,Teluk Empening,,
,,,,,,Terentang Hilir,,
,,,,,,Terentang Hulu,,
,,,,,,Permata,,
,,,,,,Betuah,,
,,,,,,Sungai Radak Satu,,
,,,,,,Sungai Radak Dua,,
,,,,,,Sungai Dungun,,
61.02.06,,,,2Toho,-,8,,
61.02.06.2001,,,,,,1 Toho Ilir,,"Koreksi nama 'Toho Hilir' Srt Ditjen BPD No 140/5118/BPD tgl 18 Juli
2019"
,,,,,,,,
