NO,KODE,"NAMA PROVINSI,
KABUPATEN / KOTA,
KECAMATAN",IBUKOTA,J U M L A H,,,,,"LUAS
WILAYAH
(Km2) *","JUMLAH
PENDUDUK
(Jiwa) **",K ET E R A N G A N
,,,,KAB,KOTA,KEC,KEL,DESA,,,
,12.71.10,10 Medan Area,,,,,12,,,,
,12.71.11,11 Medan Johor,,,,,6,,,,
,12.71.12,12 Medan Marelan,,,,,5,,,,
,12.71.13,13 Medan Labuhan,,,,,6,,,,
,12.71.14,14 Medan Tembung,,,,,7,,,,
,12.71.15,15 Medan Maimun,,,,,6,,,,
,12.71.16,16 Medan Polonia,,,,,5,,,,
,12.71.17,17 Medan Baru,,,,,6,,,,
,12.71.18,18 Medan Perjuangan,,,,,9,,,,
,12.71.19,19 Medan Petisah,,,,,7,,,,
,12.71.20,20 Medan Timur,,,,,11,,,,
,12.71.21,21 Medan Selayang,,,,,6,,,,
,12.72,27 KOTA PEMATANGSIANTAR,Pematang Siantar,,,8,53,0,76,274.278,"Perbaikan nama sesuai BA No. 2826.a/BP/2017 Rapat Penyusunan &
Validasi Data Wilayah tgl 30 Okt s/d 1 Nov 2017.
Luas Wilayah Indikatif sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
,12.72.01,1 Siantar Timur,,,,,7,,,,
,12.72.02,2 Siantar Barat,,,,,8,,,,
,12.72.03,3 Siantar Utara,,,,,7,,,,
,12.72.04,4 Siantar Selatan,,,,,6,,,,
,12.72.05,5 Siantar Marihat,,,,,7,,,,
,12.72.06,6 Siantar Martoba,,,,,7,,,,
,12.72.07,7 Siantar Sitalasari,,,,,5,,,,Perda No. 3/2007
,12.72.08,8 Siantar Marimbun,,,,,6,,,,Perda No. 6/2007
,12.73,28 KOTA SIBOLGA,Sibolga,,,4,17,0,11,95.527,"Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
,12.73.01,1 Sibolga Utara,,,,,5,,,,
,12.73.02,2 Sibolga Kota,,,,,4,,,,
,12.73.03,3 Sibolga Selatan,,,,,4,,,,
,12.73.04,4 Sibolga Sambas,,,,,4,,,,
,12.74,29 KOTA TANJUNG BALAI,Tanjung Balai,,,6,31,0,60,179.589,"Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
,12.74.01,1 Tanjungbalai Selatan,,,,,6,,,,"Perbaikan nama kec. semula Tanjung Balai Selatan menjadi
Tanjungbalai Selatan sesuai Surat Plt. Walikota Tanjungbalai No.
100/12431/Pem-an tgl 12 Juli 2022."
