K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
,,,,,,Anggopi,,Menjadi wil. Kec. Oridek Perda No. 4/2007
91.06.03.2030,,,,,,17 Rim,,
91.06.03.2031,,,,,,18 Adorbari,,"Pemekaran desa Woniki, Perda No. 29/2011"
91.06.03.2032,,,,,,19 Bosnik Sup,,"Pemekaran desa Woniki, Perda No. 29/2011"
91.06.03.2033,,,,,,20 Inofi,,"Pemekaran desa Bindusi, Perda No. 29/2011"
91.06.03.2034,,,,,,21 Yenberok,,"Pemekaran desa Orwer, Perda No. 29/2011"
91.06.03.2035,,,,,,22 Wasori,,"Pemekaran desa Owi, Perda No. 29/2011"
91.06.03.2036,,,,,,23 Yendakem,,"Pemekaran desa Sare Idi, Perda No. 29/2011"
91.06.03.2037,,,,,,24 Waderbo,,"Pemekaran desa Kajasbo, Perda No. 29/2011"
91.06.03.2038,,,,,,25 Afefbo,,"Pemekaran desa Ibdi, Perda No. 29/2011"
91.06.03.2039,,,,,,26 Inmdi,,"Pemekaran Desa Sepse, Perda No. 29/2011"
91.06.04,,,,4Numfor Barat,-,12,,
,,,,,,Pakreki,,Menjadi wil. Kec. Orkeri Perda No. 4/2007
,,,,,,Saribi,,Menjadi wil. Kec. Orkeri Perda No. 4/2007
91.06.04.2003,,,,,,1 Namber,,
91.06.04.2004,,,,,,2 Baruki,,
91.06.04.2005,,,,,,3 Kameri,,
,,,,,,Wansra,,Menjadi wil. Kec. Orkeri Perda No. 4/2007
,,,,,,Yenbeba,,Menjadi wil. Kec. Orkeri Perda No. 4/2007
91.06.04.2008,,,,,,4 Warido,,
,,,,,,Yenmaru,,Menjadi wil. Kec. Numfor Timur Perda No. 4/2007
,,,,,,Rawar,,Menjadi wil. Kec. Orkeri Perda No. 4/2007
,,,,,,Sub Mander,,Menajdi wil. Kec. Orkeri Perda No. 4/2007
91.06.04.2012,,,,,,5 Sub Manggunsi,,
91.06.04.2013,,,,,,6 Serbin,,
91.06.04.2014,,,,,,7 Kansai,,
91.06.04.2015,,,,,,8 Pomdori,,
,,,,,,Masyarah,,Menjadi wil. Kec. Orkeri Perda No. 4/2007
,,,,,,Yenbepon,,Menjadi wil. Kec. Orkeri Perda No. 4/2007
,,,,,,Pyefuri,,Menjadi wil. Kec. Numfor Timur Perda No. 4/2007
91.06.04.2019,,,,,,9 Semayen,,"Pemekaran Desa Baruki, Perda No. 29/2011"
91.06.04.2020,,,,,,10 Mambodo Sawai,,"Pemekaran Desa Kameri, Perda No. 29/2011"
91.06.04.2021,,,,,,11 Rimbaraya,,"Pemekaran Desa Namber, Perda No. 29/2011"
91.06.04.2022,,,,,,12 Pomdori Sup,,"Pemekaran Desa Pomdori, Perda No. 29/2011"
91.06.05,,,,5Numfor Timur,-,9,,
,,,,,,Mandori,,Menjadi wil. Kec. Bruyadori Perda No. 4/2007
,,,,,,Bruyadori,,Menjadi wil. Kec. Bruyandori Perda No. 4/2007
,,,,,,Bawei,,Menjadi wil. Kec. Poiru Perda No. 4/2007
,,,,,,Manggari,,Menjadi wil. Kec. Poiru Perda No. 4/2007
,,,,,,Andei,,Menjadi wil. Kec. Poiru Perda No. 4/2007
,,,,,,,,
