K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
16,SUMATERA SELATAN,,,,,,,
16.10,KAB. OGAN ILIR,,,16,14,227,"2.302,858","Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
16.10.01,,,,1Muara Kuang,1,13,,
,,,,,,Ibul Dalam,,"Menjadi wil. Kec. Rambang Kuang, Perda No.22/2005"
,,,,,,Beringin Dalam,,"Menjadi wil. Kec. Rambang Kuang, Perda No.22/2005"
,,,,,,Kuang Dalam,,"Menjadi wil. Kec. Rambang Kuang, Perda No.22/2005"
,,,,,,Lubuk Tunggal,,"Menjadi wil. Kec. Rambang Kuang, Perda No.22/2005"
16.10.01.2005,,,,,,1 Munggu,,
16.10.01.2006,,,,,,2 Seri Menanti,,
16.10.01.2007,,,,,,3 Rantau Sialang,,
16.10.01.2008,,,,,,4 Kuang Anyar,,
16.10.01.2009,,,,,,5 Kasah,,
,,,,,,Ulak Segara,,"Menjadi wil. Kec. Rambang Kuang, Perda No.22/2005"
16.10.01.1011,,,,,1Muara Kuang,,,Menjadi Kel. Perda No. 21/2006
16.10.01.2012,,,,,,6 Tanabang Ulu,,
16.10.01.2013,,,,,,7 Seri Kembang,,
16.10.01.2014,,,,,,8 Nagasari,,
16.10.01.2015,,,,,,9 Suka Cinta,,
16.10.01.2016,,,,,,10 Kelampadu,,
,,,,,,Ulak Kembahang,,"Menjadi wil. Kec. Lubuk Keliat, Perda No.22/2005"
,,,,,,Lubuk Keliat,,"Menjadi wil. Kec. Lubuk Keliat, Perda No.22/2005"
,,,,,,Embecang,,"Menjadi wil. Kec. Lubuk Keliat, Perda No.22/2005"
,,,,,,Kasih Raja,,"Menjadi wil. Kec. Lubuk Keliat, Perda No.22/2005"
,,,,,,Talang Tengah,,"Menjadi wil. Kec. Lubuk Keliat, Perda No.22/2005"
,,,,,,Sunur,,"Menjadi wil. Kec. Rambang Kuang, Perda No.22/2005"
,,,,,,Tanjung Bulan,,"Menjadi wil. Kec. Rambang Kuang, Perda No.22/2005"
,,,,,,Tambang Rambang,,"Menjadi wil. Kec. Rambang Kuang, Perda No.22/2005"
,,,,,,Tangai Sukananti,,"Menjadi wil. Kec. Rambang Kuang, Perda No.22/2005"
,,,,,,Kayu Ara,,"Menjadi wil. Kec. Rambang Kuang, Perda No.22/2005"
,,,,,,Tanjung Miring,,"Menjadi wil. Kec. Rambang Kuang, Perda No.22/2005"
,,,,,,Tanabang Ulu,,Perbup. No. 44/2006
16.10.01.2029,,,,,,11 Sukajadi,,"Pemekaran sebagian Desa Suka Cinta, Perda 9/2012"
16.10.01.2030,,,,,,12 Ramakasih,,"Pemekaran sebagian Desa Suka Cinta, Perda 9/2012"
16.10.01.2031,,,,,,13 Tanabang Ilir,,"Pemekaran sebagian Desa Tanabang, Perda 9/2012"
16.10.02,,,,2Tanjung Batu,2,19,,
,,,,,,Tebedak,,"Menjadi wil.Kec. Payaraman, Perda No.22/2005"
,,,,,,Lubuk Bandung,,"Menjadi wil.Kec. Payaraman, Perda No.22/2005"
,,,,,,,,
