K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
11.16.04.2013,,,,,,12 Air Masin,,
11.16.04.2014,,,,,,13 Sidodadi,,
11.16.04.2015,,,,,,14 Perk. Gedung Biara,,"Perbaikan nama sesuai Surat Pem Aceh No. 146.1/10560 tgl 13 Juni
2016 Hal Hasil Klarifikasi Nama Desa/Gampong di Aceh"
11.16.04.2016,,,,,,15 Muka Sungai Kuruk,,
11.16.04.2017,,,,,,16 Paya Udang,,
11.16.04.2018,,,,,,17 Gelung,,
11.16.04.2019,,,,,,18 Kampung Baru,,
11.16.04.2020,,,,,,19 Kuala Pusung Kapal,,"Perbaikan nama sesuai Validasi Data Nama dan Kodefikasi Desa tgl 17
Mei 2017 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD tgl 21
Juni 2017"
11.16.04.2021,,,,,,20 Sungai Kuruk I,,
11.16.04.2022,,,,,,21 Sungai Kuruk II,,
11.16.04.2023,,,,,,22 Sungai Kuruk III,,
11.16.04.2024,,,,,,23 Tangsi Lama,,
11.16.04.2025,,,,,,24 Lubuk Damar,,
11.16.05,,,,5Kota Kualasinpang,-,5,,
11.16.05.2001,,,,,,1 Kota Kualasimpang,,"Perbaikan nama sesuai Srt Ditjen Pemdes No. 145/1820/SET tgl 15 Nov
2018 hal penyampaian hasil validasi"
11.16.05.2002,,,,,,2 Perdamaian,,
11.16.05.2003,,,,,,3 Sriwijaya,,
11.16.05.2004,,,,,,4 Bukit Tempurung,,
11.16.05.2005,,,,,,5 Kota Lintang,,"Perbaikan nama sesuai Srt Ditjen Pemdes No. 145/1820/SET tgl 15 Nov
2018 hal penyampaian hasil validasi.
Perbaikan nama desa semula Kotalintang menjadi Kota Lintang, sesuai:
Qanun No. 14 Tahun 2021; dan
Surat Sekda Pem. Aceh No. 140/14270 tgl 07 September 2022."
11.16.06,,,,6Kejuruan Muda,-,16,,
11.16.06.2001,,,,,,1 Bukit Rata,,
11.16.06.2002,,,,,,2 Pangkalan,,
11.16.06.2003,,,,,,3 Tanjung Mancang,,
11.16.06.2004,,,,,,4 Simpang Kanan,,
11.16.06.2005,,,,,,5 Tanjung Genteng,,
11.16.06.2006,,,,,,6 Gerenggam,,
11.16.06.2007,,,,,,7 Suka Makmur,,
11.16.06.2008,,,,,,8 Alur Selebu,,"Perbaikan nama sesuai Surat Pem Aceh No. 146.1/10560 tgl 13 Juni
2016 Hal Hasil Klarifikasi Nama Desa/Gampong di Aceh"
,,,,,,Tebing Tinggi,,"Menjadi wil. Kec. Tenggulun, Qanun No. 6/2006"
11.16.06.2010,,,,,,9 Sungai Liput,,
11.16.06.2011,,,,,,10 Kebun Sungai Liput,,
11.16.06.2012,,,,,,11 Purwodadi,,
11.16.06.2013,,,,,,12 Jawa,,"Perbaikan nama sesuai Surat Pem Aceh No. 146.1/10560 tgl 13 Juni
2016 Hal Hasil Klarifikasi Nama Desa/Gampong di Aceh"
,,,,,,,,
