K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
,,,,,,Mandala Sena,,"Bergabung dg Desa Pargumbangan, Janji Mauli Mandalesena, Huta
Baru Mandalasena, Hutanopan, Gunung Selamat, Rahuning Julu, Tano
Hudon Jae, Tano Hudon Julu, dan Desa Pintu Gadang, Perda No.
5/2008"
,,,,,,Tano Hudon Jae,,"Bergabung dg Desa Mandalasena, Pargumbangan, Janji Mauli
Madnalasena, Huta baru mandalasena, Hutanopan, Gunung Selamat,
Rahuning Julu, Tano Hudon Jae, Tano Hudon Julu, dan Desa Pintu
Padang, Perda No. 5/2008"
,,,,,,Tano Hudon Julu,,"Bergabung dg Desa Mandalasena, Janji Mauli Madnalasena, Huta baru
mandalasena, Hutanopan, Gunung Selamat, Rahuning Julu, Tano
Hudon Jae, dan Desa Pintu Padang, Perda No. 5/2008"
,,,,,,Pargumbangan,,"Bergabung dg Desa Mandalasena, Janji Mauli Madnalasena, Huta baru
mandalasena, Hutanopan, Gunung Selamat, Rahuning Julu, Tano
Hudon Jae, Tano Hudon Julu, dan Desa Pintu Padang, Perda No.
5/2008"
,,,,,,Huta Pohan,,Surat Gub Sumut No. 414.1/3314 Tanggal 22 April 2015
,,,,,,Parau Sorat,,"Bergabung dg Desa Huta Nopan, Sidaboar, Parkayuan, Batu Tua,
Baringin Tua, Sitabo Tabo, dan Desa Pinarik Baru, Perda No. 5/2008"
,,,,,,Batu Tua,,"Bergabung dg Desa Huta Nopan, Sidaboar, Parkayuan, Paru Sorat,
Baringin Tua, Sitabo Tabo, dan Desa Pinarik Baru, Perda No. 5/2008"
,,,,,,Huta Nopan,,"Bergabung dg Desa Sidaboar, Purba Sinomba Mandalasena,
Parkayuan, Desa Batu Tua, Parau Sorat, Baringin Tua, Sitabo Tabo,
dan Desa Penarik Baru, Perda No. 5/2008"
,,,,,,Simanosor Jae,,"Bergabung dg Desa Sidapdap, dan Desa Simanosor Julu, Perda No.
5/2008"
,,,,,,Banua Rakyat,,"Bergabung dg Desa Simanosor Tapus, Simanosor Gareja, Simanosor
Tonga, dan Desa Saut Matogu, Perda No. 5/2008"
,,,,,,"Gunung Tua
Pandapotan",,"Penggabungan Desa Purba Tua Simangambat, Simandera Huta Julu,
Sigoring Goring, dan Desa Simangambat, Perda No. 5/2008"
,,,,,,Huta Rakyat,,"Bergabung dg Desa Simangambat Godang, dan Desa Pagaran
Panindoan, Perda No. 5/2008"
,,,,,,Pagaran Panindoan,,"Bergabung dg Desa Simangambat Godang, dan Desa Huta Rakyat,
Perda No. 5/2008"
,,,,,,Padang Garugur,,"Bergabung dg Desa Bangun Purba, Pijarkoling, Padang Mandailing
Godang, Padang Mandailing Julu, dan Desa Padang Garugur, Perda
No. 5/2008"
,,,,,,Somba Debata,,"Bergabung dg Desa Binanga, dan Desa Lenggahara, Perda No.
5/2008"
,,,,,,Simadera Hutajulu,,"Penggabungan Desa Purba Tua Simangambat, Gunung Tua
Pandapotan, Sigoring Goring, dan Desa Simangambat, Perda No.
5/2008"
,,,,,,HTBR Mandala Sena,,"Bergabung dg Desa Mandalasena, Janji Mauli Mandalasena,
Hutanopan, Gunung Selamat, Rahuning Julu, Tano Hudon Jae, Tano
Hudon Julu, dan Desa Pintu Padang, Perda No. 5/2008"
,,,,,,Gunung Selamat,,"Bergabung dg Desa Mandalasena, Janji Mauli Mandalasena, Huta Baru
Mandalasena, Hutanopan, Rahuning Julu, Tano Hudon Jae, Tano
Hudon Julu, dan Desa Pintu Padang, Perda No. 5/2008"
,,,,,,Purba Sinomba Sena,,Surat Gub Sumut No. 414.1/3314 Tanggal 22 April 2015
,,,,,,,,
