NO,KODE,"NAMA PROVINSI,
KABUPATEN / KOTA,
KECAMATAN",IBUKOTA,J U M L A H,,,,,"LUAS
WILAYAH
(Km2) *","JUMLAH
PENDUDUK
(Jiwa) **",K ET E R A N G A N
,,,,KAB,KOTA,KEC,KEL,DESA,,,
,32.73.16,16 Kiaracondong,,,,,6,,,,
,32.73.17,17 Bojongloa Kidul,,,,,6,,,,
,32.73.18,18 Cibeunying Kaler,,,,,4,,,,
,32.73.19,19 Sumur Bandung,,,,,4,,,,
,32.73.20,20 Antapani,,,,,4,,,,"Perubahan nama Kec. Cicadas, Perda No. 6/2006"
,32.73.21,21 Bandung Kidul,,,,,4,,,,
,32.73.22,22 Buahbatu,,,,,4,,,,"Perubahan nama Kec. Margacinta, Perda No. 6/2006"
,32.73.23,23 Rancasari,,,,,4,,,,
,32.73.24,24 Arcamanik,,,,,4,,,,
,32.73.25,25 Cibiru,,,,,4,,,,
,32.73.26,26 Ujungberung,,,,,5,,,,Perda 9/2000 TGL 7 Des 2000
,32.73.27,27 Gedebage,,,,,4,,,,Perda No. 6/2006
,32.73.28,28 Panyileukan,,,,,4,,,,Perda No. 6/2006
,32.73.29,29 Cinambo,,,,,4,,,,Perda No. 6/2006
,32.73.30,30 Mandalajati,,,,,4,,,,Perda No. 6/2006
,32.74,22 KOTA CIREBON,Cirebon,,,5,22,0,39,344.030,"Luas Wilayah Definitif, PGP, sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022"
,32.74.01,1 Kejaksan,,,,,4,,,,
,32.74.02,2 Lemahwungkuk,,,,,4,,,,"Perbaikan nama kecamatan semula Lemah Wungkuk menjadi
Lemahwungkuk sesuai PP No.35/1986."
,32.74.03,3 Harjamukti,,,,,5,,,,
,32.74.04,4 Pekalipan,,,,,4,,,,
,32.74.05,5 Kesambi,,,,,5,,,,
,32.75,23 KOTA BEKASI,Bekasi,,,12,56,0,213,2.470.972,"Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022"
,32.75.01,1 Bekasi Timur,,,,,4,,,,
,32.75.02,2 Bekasi Barat,,,,,5,,,,
,32.75.03,3 Bekasi Utara,,,,,6,,,,
,32.75.04,4 Bekasi Selatan,,,,,5,,,,
,32.75.05,5 Rawalumbu,,,,,4,,,,Koreksi nama Perda No 4/2004
,32.75.06,6 Medansatria,,,,,4,,,,Koreksi nama Perda 4/2004
,32.75.07,7 Bantargebang,,,,,4,,,,Koreksi nama Perda 4/2004
,32.75.08,8 Pondokgede,,,,,5,,,,Koreksi nama Perda 4/2004
,32.75.09,9 Jatiasih,,,,,6,,,,
,32.75.10,10 Jatisampurna,,,,,5,,,,Koreksi nama Perda No 4/2004
