Kode Pulau,"Nama Provinsi, Kabupaten/Kota, Pulau",Jumlah,Kordinat,Keterangan
11.14.40030,Pulau Pingi,,"04°47'15.68"" U 095°26'52.49"" T",TBP
11.14.40031,Pulau Punyi,,"04°37'03.23"" U 095°34'24.97"" T",
11.14.40032,Pulau Raya,,"04°52'12.00"" U 095°22'44.00"" T",BP (PPKT)
11.14.40033,Pulau Renggah,,"04°36'38.64"" U 095°34'05.35"" T",
11.14.40034,Pulau Reusam,,"04°38'39.09"" U 095°33'26.19"" T",TBP
11.14.40035,Pulau Rigah,,"04°38'16.00"" U 095°31'13.00"" T",TBP
11.14.40036,Pulau Sidom,,"04°39'04.00"" U 095°34'21.00"" T",TBP
11.14.40037,Pulau Tengkumeusa,,"04°40'12.96"" U 095°31'56.21"" T",TBP
11.14.40038,Pulau Tengkuusman,,"04°37'06.13"" U 095°34'21.33"" T",TBP
11.14.40039,Pulau Tuloo,,"04°37'01.48"" U 095°34'32.61"" T",TBP
11.14.40040,Pulau Tumae,,"04°41'07.55"" U 095°30'36.57"" T",TBP
11.14.40041,Pulau Ujoeng Geunteeng,,"05°04'53.54"" U 095°18'23.02"" T",
11.14.40042,Pulau Ujongbaroh,,"04°39'14.00"" U 095°32'24.00"" T",TBP
11.14.40043,Pulau Ujongsudhen,,"05°06'54.00"" U 095°17'26.00"" T",TBP
11.15,KAB. NAGAN RAYA,4,,
11.15.40001,Pulau Dama,,"03°51'38.21"" U 096°22'56.44"" T",
11.15.40002,Pulau Rusa,,"03°51'36.45"" U 096°22'53.78"" T",
11.15.40003,Pulau Singgah Mata,,"03°51'34.10"" U 096°22'56.48"" T",
11.15.40004,Pulau Uleegunong,,"03°58'34.00"" U 096°28'39.99"" T",TBP
11.16,KAB. ACEH TAMIANG,9,,
11.16.40001,Pulau Aluenireh Barat,,"04°25'41.33"" U 098°13'44.38"" T",BP
11.16.40002,Pulau Aluenireh Timur,,"04°25'31.04"" U 098°14'52.60"" T",TBP
11.16.40003,Pulau Besingtinggi,,"04°19'33.90"" U 098°17'09.82"" T",TBP
11.16.40004,Pulau Kualagenting,,"04°26'28.62"" U 098°13'38.75"" T",TBP
11.16.40005,Pulau Kualapenaga,,"04°25'47.06"" U 098°15'40.59"" T",BP
11.16.40006,Pulau Pulausekai,,"04°24'28.65"" U 098°17'00.46"" T",TBP
11.16.40007,Pulau Pusongcium,,"04°23'45.95"" U 098°17'06.99"" T",TBP
11.16.40008,Pulau Pusongketapang,,"04°26'04.94"" U 098°15'09.45"" T",TBP
11.16.40009,Pulau Rukui,,"04°30'35.28"" U 098°08'50.46"" T",TBP
11.71,KOTA BANDA ACEH,1,,
11.71.40001,Pulau Biawak,,"05°34'04.71"" U 095°18'07.56"" T",
11.72,KOTA SABANG,13,,
11.72.40001,Pulau Batu Kembar,,"06°03'45.02"" U 095°06'50.10"" T",
11.72.40002,Pulau Batu Runcing,,"06°03'46.37"" U 095°06'49.59"" T",
11.72.40003,Pulau Batu Tengah,,"06°03'33.89"" U 095°06'54.72"" T",
11.72.40004,Pulau Batulah Selatan,,"06°03'35.77"" U 095°06'52.16"" T",TBP
11.72.40005,Pulau Batulah Tengah,,"06°03'42.28"" U 095°06'51.94"" T",TBP
11.72.40006,Pulau Batulah Utara,,"06°03'45.55"" U 095°06'51.26"" T",TBP
11.72.40007,Pulau Klah,,"05°52'34.00"" U 095°18'41.00"" T",TBP
11.72.40008,Pulau Rondo,,"06°04'27.00"" U 095°07'03.00"" T",TBP (PPKT)
