Kode Pulau,"Nama Provinsi, Kabupaten/Kota, Pulau",Jumlah,Kordinat,Keterangan
76.01,KAB. PASANGKAYU,14,,
76.01.40001,Pulau Anak Pulau Tedong,,"01°24'56.01"" S 119°18'09.94"" T",
76.01.40002,Pulau Baras 6,,"01°25'20.90"" S 119°24'34.81"" T",
76.01.40003,Pulau Kulu Besar,,"01°26'40.81"" S 119°22'37.95"" T",
76.01.40004,Pulau Kulu Kecil,,"01°26'32.21"" S 119°22'48.39"" T",
76.01.40005,Pulau Leko Kayyang,,"01°24'57.53"" S 119°25'35.15"" T",
76.01.40006,Pulau Leko Keccu,,"01°25'23.59"" S 119°25'18.81"" T",
76.01.40007,Pulau Marisa,,"01°26'41.14"" S 119°21'48.47"" T",
76.01.40008,Pulau Pahampa,,"01°26'09.25"" S 119°20'36.61"" T",
76.01.40009,Pulau Rodo Keccu,,"01°25'50.91"" S 119°19'08.21"" T",
76.01.40010,Pulau Rodo Keyyang,,"01°25'47.13"" S 119°19'06.15"" T",
76.01.40011,Pulau Saboka,,"01°25'35.08"" S 119°20'03.08"" T",
76.01.40012,Pulau Sumber Sari Besar,,"01°25'07.68"" S 119°24'40.69"" T",
76.01.40013,Pulau Sumber Sari Kecil,,"01°25'00.67"" S 119°24'40.84"" T",
76.01.40014,Pulau Tedong,,"01°25'16.12"" S 119°18'18.32"" T",
76.02,KAB. MAMUJU,37,,
76.02.40001,Pulau Ambo,,"02°32'20.00"" S 117°56'38.00"" T",BP
76.02.40002,Pulau Batukapal,,"01°56'04.08"" S 119°19'35.57"" T",TBP
76.02.40003,Pulau Batumeanaq Bakengkeng,,"02°28'15.74"" S 119°07'05.92"" T",TBP
76.02.40004,Pulau Batumeanaq Kambunong,,"01°56'37.16"" S 119°19'15.60"" T",TBP
76.02.40005,Pulau Buraidi,,"02°15'50.01"" S 117°03'40.95"" T",TBP
76.02.40006,Pulau Buraolei,,"02°20'33.69"" S 117°04'54.32"" T",TBP
76.02.40007,Pulau Gusunduian,,"02°14'21.78"" S 117°08'20.24"" T",TBP
76.02.40008,Pulau Kalonding,,"02°19'54.47"" S 119°14'36.67"" T",
76.02.40009,Pulau Kamarian Kayyang,,"02°21'42.31"" S 117°16'41.85"" T",TBP
76.02.40010,Pulau Kamarian Marinni,,"02°20'50.43"" S 117°16'21.00"" T",TBP
76.02.40011,Pulau Kambunong,,"01°56'26.00"" S 119°19'45.00"" T",BP
76.02.40012,Pulau Kampung Pisang,,"02°18'00.65"" S 119°08'32.11"" T",
76.02.40013,Pulau Karampuang,,"02°38'02.00"" S 118°53'15.00"" T",BP
76.02.40014,Pulau Labia,,"02°25'21.99"" S 117°35'36.41"" T",BP
76.02.40015,Pulau Lalungan,,"02°29'28.86"" S 117°21'53.84"" T",TBP
76.02.40016,Pulau Lamudaan Kayyang,,"02°26'48.44"" S 117°29'00.17"" T",BP
76.02.40017,Pulau Lamudaan Marinni,,"02°26'46.50"" S 117°29'35.99"" T",TBP
76.02.40018,Pulau Lumulumu,,"02°56'27.65"" S 117°33'25.04"" T",TBP
76.02.40019,Pulau Malamber,,"02°26'32.31"" S 117°33'00.79"" T",BP
76.02.40020,Pulau Malamber Marinni,,"02°27'04.24"" S 117°32'43.92"" T",TBP
76.02.40021,Pulau Pangalloang Sampaga,,"02°18'27.81"" S 119°08'20.05"" T",
