Kode Pulau,"Nama Provinsi, Kabupaten/Kota, Pulau",Jumlah,Kordinat,Keterangan
21.71.40265,Pulau Nibung,,"00°50'07.00"" U 104°08'33.00"" T",TBP
21.71.40266,Pulau Nibung,,"00°57'35.79"" U 104°05'10.00"" T",
21.71.40267,Pulau Nibung,,"01°03'36.07"" U 104°05'56.91"" T",
21.71.40268,Pulau Nibung,,"01°03'56.09"" U 103°53'20.69"" T",
21.71.40269,Pulau Nilir,,"00°55'57.64"" U 104°09'00.04"" T",TBP
21.71.40270,Pulau Nipa,,"01°08'48.99"" U 103°39'29.00"" T",BP (PPKT)
21.71.40271,Pulau Nipah,,"00°58'22.00"" U 104°03'13.00"" T",TBP
21.71.40272,Pulau Nipis,,"00°56'17.00"" U 103°58'54.99"" T",TBP
21.71.40273,Pulau Nirup,,"01°07'35.00"" U 103°49'39.00"" T",TBP
21.71.40274,Pulau Nurdin,,"00°28'34.92"" U 104°16'39.56"" T",TBP
21.71.40275,Pulau Orangmati,,"00°59'36.47"" U 103°57'49.58"" T",TBP
21.71.40276,Pulau Padi,,"01°04'37.99"" U 103°52'50.00"" T",BP
21.71.40277,Pulau Pakcui,,"01°07'05.00"" U 103°54'33.00"" T",TBP
21.71.40278,Pulau Paloi Besar,,"00°55'22.00"" U 103°49'03.00"" T",TBP
21.71.40279,Pulau Paloi Kecil,,"00°55'40.21"" U 103°48'45.13"" T",TBP
21.71.40280,Pulau Pangkalan Tering,,"00°34'06.39"" U 104°13'47.60"" T",TBP
21.71.40281,Pulau Panjang,,"01°00'49.00"" U 103°45'33.00"" T",TBP
21.71.40282,Pulau Panjang,,"01°01'43.00"" U 103°48'11.00"" T",TBP
21.71.40283,Pulau Panjang,,"00°59'22.99"" U 103°48'47.00"" T",TBP
21.71.40284,Pulau Panjang,,"00°58'05.00"" U 104°01'25.00"" T",TBP
21.71.40285,Pulau Panjang,,"00°48'16.38"" U 104°08'44.66"" T",BP
21.71.40286,Pulau Panjang Darat,,"00°57'38.99"" U 104°01'27.00"" T",BP
21.71.40287,Pulau Panjang Laut,,"00°57'22.00"" U 104°01'41.00"" T",BP
21.71.40288,Pulau Pasir,,"01°04'48.00"" U 103°52'13.00"" T",BP
21.71.40289,Pulau Pasir Buluh,,"00°33'45.00"" U 104°12'51.99"" T",BP
21.71.40290,Pulau Payung,,"01°06'34.58"" U 103°50'35.07"" T",TBP
21.71.40291,Pulau Payung,,"01°06'41.69"" U 103°50'32.30"" T",
21.71.40292,Pulau Pecong Besar,,"00°59'55.00"" U 103°49'34.00"" T",BP
21.71.40293,Pulau Pecong Kecil,,"01°00'27.00"" U 103°49'16.00"" T",TBP
21.71.40294,Pulau Pelampung,,"01°07'28.99"" U 103°42'13.00"" T",BP (PPKT)
21.71.40295,Pulau Pelangi,,"01°03'11.99"" U 103°48'56.00"" T",TBP
21.71.40296,Pulau Pelintang,,"00°28'54.40"" U 104°16'28.84"" T",TBP
21.71.40297,Pulau Pemping,,"01°05'35.99"" U 103°48'11.99"" T",BP
21.71.40298,Pulau Pengaju,,"00°34'19.17"" U 104°12'31.24"" T",TBP
21.71.40299,Pulau Pengalap,,"00°30'14.00"" U 104°17'19.00"" T",BP
21.71.40300,Pulau Penjahit Layar,,"00°54'24.99"" U 104°02'43.00"" T",TBP
21.71.40301,Pulau Penyabung,,"00°43'07.00"" U 104°12'33.99"" T",TBP
21.71.40302,Pulau Penyalan,,"01°00'18.56"" U 103°46'09.29"" T",TBP
21.71.40303,Pulau Perabas,,"00°48'29.99"" U 104°13'52.00"" T",TBP
21.71.40304,Pulau Perahak,,"01°05'49.03"" U 103°51'03.80"" T",TBP
