Kode Pulau,"Nama Provinsi, Kabupaten/Kota, Pulau",Jumlah,Kordinat,Keterangan
13,SUMATERA BARAT,3,,
13.00.40001,Pulau Bando,,"00°45'38.07"" S 099°59'47.69"" T",TBP
13.00.40002,Pulau Bintangua,,"01°08'53.53"" S 100°19'48.90"" T",TBP
13.00.40003,Pulau Sironjong,,"01°08'38.32"" S 100°21'31.29"" T",TBP
13.01,KAB. PESISIR SELATAN,48,,
13.01.40001,Pulau Aua Gadang,,"01°23'28.25"" S 100°29'22.13"" T",TBP
13.01.40002,Pulau Aua Ketek,,"01°24'29.07"" S 100°29'32.26"" T",TBP
13.01.40003,Pulau Babi,,"01°19'24.40"" S 100°28'28.18"" T",TBP
13.01.40004,Pulau Babi Ketek,,"01°19'45.79"" S 100°28'18.80"" T",TBP
13.01.40005,Pulau Baringin,,"01°54'33.81"" S 100°38'20.18"" T",TBP
13.01.40006,Pulau Batu Sironjong,,"01°16'34.45"" S 100°25'04.50"" T",
13.01.40007,Pulau Batuajuang Ketek,,"01°16'18.99"" S 100°25'08.02"" T",TBP
13.01.40008,Pulau Batubadatuih,,"01°24'40.62"" S 100°29'37.11"" T",TBP
13.01.40009,Pulau Batubasanggua,,"01°11'59.10"" S 100°25'49.62"" T",TBP
13.01.40010,Pulau Batudandang,,"01°20'32.81"" S 100°31'07.19"" T",TBP
13.01.40011,Pulau Batudandang Selatan,,"01°09'32.78"" S 100°22'09.21"" T",TBP
13.01.40012,Pulau Batudandang Utara,,"01°09'31.80"" S 100°22'09.55"" T",TBP
13.01.40013,Pulau Batukareta,,"01°21'13.70"" S 100°33'50.20"" T",TBP
13.01.40014,Pulau Batumandi Ateh,,"01°24'05.28"" S 100°29'32.16"" T",TBP
13.01.40015,Pulau Batumandi Tangah,,"01°24'06.86"" S 100°29'23.46"" T",TBP
13.01.40016,Pulau Batunago,,"01°24'27.01"" S 100°33'20.82"" T",TBP
13.01.40017,Pulau Batuputi,,"01°18'08.53"" S 100°29'36.20"" T",TBP
13.01.40018,Pulau Baturakikrakik,,"01°11'50.60"" S 100°20'30.17"" T",TBP
13.01.40019,Pulau Baturimau,,"01°14'49.75"" S 100°25'25.95"" T",TBP
13.01.40020,Pulau Batusironjong,,"01°16'32.43"" S 100°25'04.91"" T",TBP
13.01.40021,Pulau Cingkuak,,"01°21'13.83"" S 100°33'33.16"" T",TBP
13.01.40022,Pulau Cubadak,,"01°13'00.00"" S 100°23'19.00"" T",BP
13.01.40023,Pulau Gosongampiangparak,,"01°43'14.09"" S 100°35'23.89"" T",TBP
13.01.40024,Pulau Kapokapo,,"01°11'51.09"" S 100°23'38.44"" T",TBP
13.01.40025,Pulau Karabak Gadang,,"01°39'44.85"" S 100°30'28.82"" T",TBP
13.01.40026,Pulau Karabak Ketek,,"01°36'17.95"" S 100°33'15.92"" T",TBP
13.01.40027,Pulau Karanggo,,"01°10'10.97"" S 100°20'16.33"" T",TBP
13.01.40028,Pulau Kasiaktaratak,,"01°35'10.00"" S 100°37'42.87"" T",TBP
13.01.40029,Pulau Katangkatang,,"01°53'18.86"" S 100°34'14.20"" T",TBP
13.01.40030,Pulau Kumbang,,"01°18'55.98"" S 100°26'08.15"" T",TBP
13.01.40031,Pulau Labuhansundai,,"01°15'52.05"" S 100°24'03.55"" T",TBP
13.01.40032,Pulau Marak,,"01°11'55.75"" S 100°20'03.61"" T",TBP
