NO,KODE,"NAMA PROVINSI,
KABUPATEN / KOTA,
KECAMATAN",IBUKOTA,J U M L A H,,,,,"LUAS
WILAYAH
(Km2) *","JUMLAH
PENDUDUK
(Jiwa) **",K ET E R A N G A N
,,,,KAB,KOTA,KEC,KEL,DESA,,,
,35.10.20,20 Sempu,,,,,,7,,,
,35.10.21,21 Kalipuro,,,,,4,5,,,
,35.10.22,22 Siliragung,,,,,,5,,,
,35.10.23,23 Tegalsari,,,,,,6,,,
,35.10.24,24 Licin,,,,,,8,,,
,35.10.25,25 Blimbingsari,,,,,,10,,,"Perda 8/2015, Pemekaran sebagian wil kec Rogojampi dan Kec Kabat."
,35.11,11 KAB. BONDOWOSO,Bondowoso,,,23,10,209,1.555,802.535,"Luas Wilayah Indikatif sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022"
,35.11.01,1 Maesan,,,,,,12,,,
,35.11.02,2 Tamanan,,,,,,9,,,
,35.11.03,3 Tlogosari,,,,,,10,,,
,35.11.04,4 Sukosari,,,,,,4,,,
,35.11.05,5 Pujer,,,,,,11,,,
,35.11.06,6 Grujugan,,,,,,11,,,
,35.11.07,7 Curahdami,,,,,1,11,,,
,35.11.08,8 Tenggarang,,,,,1,11,,,
,35.11.09,9 Wonosari,,,,,,12,,,
,35.11.10,10 Tapen,,,,,,9,,,
,35.11.11,11 Bondowoso,,,,,7,4,,,
,35.11.12,12 Wringin,,,,,,13,,,
,35.11.13,13 Tegalampel,,,,,1,7,,,
,35.11.14,14 Klabang,,,,,,11,,,
,35.11.15,15 Cermee,,,,,,15,,,
,35.11.16,16 Prajekan,,,,,,7,,,
,35.11.17,17 Pakem,,,,,,8,,,
,35.11.18,18 Sumberwringin,,,,,,6,,,
,35.11.19,19 Sempol,,,,,,6,,,
,35.11.20,20 Binakal,,,,,,8,,,
,35.11.21,21 Taman Krocok,,,,,,7,,,Perda No. 3/2005
,35.11.22,22 Botolinggo,,,,,,8,,,Perda No. 3/2005
,35.11.23,23 Jambesari Darus Sholah,,,,,,9,,,Perda No. 3/2005
,35.12,12 KAB. SITUBONDO,Situbondo,,,17,4,132,1.654,667.036,"Luas Wilayah Definitif, PGP, sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022"
,35.12.01,1 Jatibanteng,,,,,,8,,,
,35.12.02,2 Besuki,,,,,,10,,,
