NO,KODE,"NAMA PROVINSI,
KABUPATEN / KOTA,
KECAMATAN",IBUKOTA,J U M L A H,,,,,"LUAS
WILAYAH
(Km2) *","JUMLAH
PENDUDUK
(Jiwa) **",K ET E R A N G A N
,,,,KAB,KOTA,KEC,KEL,DESA,,,
,82.07.01,1 Morotai Selatan,,,,,,25,,,Semula wil. Kab. Halmahera Utara
,82.07.02,2 Morotai Selatan Barat,,,,,,15,,,Semula wil. Kab. Halmahera Utara
,82.07.03,3 Morotai Jaya,,,,,,14,,,Semula wil. Kab. Halmahera Utara
,82.07.04,4 Morotai Utara,,,,,,14,,,Semula wil. Kab. Halmahera Utara
,82.07.05,5 Morotai Timur,,,,,,15,,,Semula wil. Kab. Halmahera Utara
,82.07.06,6 Pulau Rao,,,,,,5,,,"Pemekaran dari Kec. Morotai Selatan Barat sesuai Perda 3 tahun 2019
tentang pembentukan Kec. Pulau Rao"
,82.08,8 KAB. PULAU TALIABU,Taliabu Barat,,,8,0,71,2.986,63.231,"Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022"
,82.08.01,1 Taliabu Barat,,,,,,13,,,Semula Wil. Kab. Sula UU No. 6/2013
,82.08.02,2 Taliabu Barat Laut,,,,,,5,,,Semula Wil. Kab. Sula UU No. 6/2013
,82.08.03,3 Lede,,,,,,5,,,Semula Wil. Kab. Sula UU No. 6/2013
,82.08.04,4 Taliabu Utara,,,,,,19,,,Semula Wil. Kab. Sula UU No. 6/2013
,82.08.05,5 Taliabu Timur,,,,,,4,,,Semula Wil. Kab. Sula UU No. 6/2013
,82.08.06,6 Taliabu Timur Selatan,,,,,,9,,,Semula Wil. Kab. Sula UU No. 6/2013
,82.08.07,7 Taliabu Selatan,,,,,,9,,,Semula Wil. Kab. Sula UU No. 6/2013
,82.08.08,8 Tabona,,,,,,7,,,Semula Wil. Kab. Sula UU No. 6/2013
,82.71,9 KOTA TERNATE,Ternate,,,8,78,0,162,201.916,"Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022"
,82.71.01,1 Pulau Ternate,,,,,6,,,,
,82.71.02,2 Kota Ternate Selatan,,,,,17,,,,
,82.71.03,3 Kota Ternate Utara,,,,,14,,,,
,82.71.04,4 Moti,,,,,6,,,,"Perda No 10/2001. Koreksi nama Surat Dukcapil Kota Ternate No
470/680/2015 tgl 29 Sept 2015 ttg permohonan perubahan kode-nama
wil"
,82.71.05,5 Pulau Batang Dua,,,,,6,,,,Perda No. 6/2007
,82.71.06,6 Kota Ternate Tengah,,,,,16,,,,Perda No. 7/2007
,82.71.07,7 Pulau Hiri,,,,,6,,,,Pemekaran Kec. Perda No. 8/2009
,82.71.08,8 Ternate Barat,,,,,7,,,,"Pemekaran sebagian Wil Kec Pulau Ternate Perda 1/2018 ttg
Pembentukan Kec Ternate Barat"
,82.72,10 KOTA TIDORE KEPULAUAN,Kota Tidore Kepulauan,,,8,40,49,1.703,115.784,"Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022"
,82.72.01,1 Tidore,,,,,13,,,,
,82.72.02,2 Oba Utara,,,,,2,11,,,
,82.72.03,3 Oba,,,,,1,12,,,
,82.72.04,4 Tidore Selatan,,,,,6,2,,,
