NO,KODE,NAMA,"JUMLAH
PULAU",KETERANGAN
,61,KALIMANTAN BARAT,8,
1,61.01,KAB. SAMBAS,12,
2,61.02,KAB. MEMPAWAH,9,
3,61.03,KAB. SANGGAU,5,
4,61.04,KAB. KETAPANG,60,
5,61.07,KAB. BENGKAYANG,12,
6,61.11,KAB. KAYONG UTARA,99,
7,61.12,KAB. KUBU RAYA,46,
8,61.71,KOTA PONTIANAK,1,
9,61.72,KOTA SINGKAWANG,1,
,,TOTAL,253,
