K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
52.07.06.2007,,,,,,7 Tebo,,Pemekaran Desa Senayan Perda No. 16/2011
52.07.06.2008,,,,,,8 Tuananga,,Pemekaran Desa Mantar Perda No. 18/2011
52.07.07,,,,7Brang Ene,-,6,,Perda No. 5/2007
52.07.07.2001,,,,,,1 Mura,,Semula wil. Kec. Taliwang
52.07.07.2002,,,,,,2 Kalimantong,,Semula wil. Kec. Taliwang
52.07.07.2003,,,,,,3 Lampok,,Semula wil. Kec. Taliwang
52.07.07.2004,,,,,,4 Manemeng,,Semula wil. Kec. Taliwang
52.07.07.2005,,,,,,5 Mujahiddin,,Semula wil. Kec. Taliwang
52.07.07.2006,,,,,,6 Mataiyang,,Pemekaran Desa Kalimantong Perda No. 6/2011
52.07.08,,,,8Maluk,-,5,,Perda No. 6/2007
52.07.08.2001,,,,,,1 Maluk,,Semula wil. Kec. Jereweh
52.07.08.2002,,,,,,2 Benete,,Semula wil. Kec. Jereweh
52.07.08.2003,,,,,,3 Bukit Damai,,Semula wil. Kec. Jereweh
52.07.08.2004,,,,,,4 Mantun,,Semula wil. Kec. Jereweh
52.07.08.2005,,,,,,5 Pasir Putih,,Semula wil. Kec. Jereweh
