K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
63.03.08.2009,,,,,,5 Sungai Raya,,
63.03.08.2010,,,,,,6 Sungkai,,
63.03.08.2011,,,,,,7 Sungai Langsat,,
,,,,,,Rantau Bujur,,"Menjadi wil. Kec. Telaga Bauntung, Perda No. 5/2008"
,,,,,,Lok Tanah,,"Menjadi wil. Kec. Telaga Bauntung, Perda No. 5/2008"
63.03.08.2014,,,,,,8 Lawiran,,
,,,,,,Surian Hanyar,,"Menjadi wil Kec. Cintapuri Darussalam, Perda No. 12/2016"
,,,,,,Keramat Mina,,"Menjadi wil Kec. Cintapuri Darussalam, Perda No. 12/2016"
63.03.08.2017,,,,,,9 Batu Balian,,
63.03.08.2018,,,,,,10 Cabi,,
63.03.08.2019,,,,,,11 Berkat Mulya,,"Perbaikan nama sesuai Srt Ditjen Pemdes No.145/1820/SET tgl 15 Nov
2018 hal penyampaian hasil validasi"
,,,,,,Rampah,,"Menjadi wil. Kec. Telaga Bauntung, Perda No. 5/2008"
63.03.08.2021,,,,,,12 Sungkai Baru,,"Perbaikan nama sesuai Srt Ditjen Pemdes No.145/1820/SET tgl 15 Nov
2018 hal penyampaian hasil validasi"
63.03.08.2022,,,,,,13 Paring Tali,,
,,,,,,Telaga Baru,,"Menjadi wil. Kec. Telaga Bauntung, Perda No. 5/2008"
,,,,,,Garis Hanyar,,"Menjadi wil Kec. Cintapuri Darussalam, Perda No. 12/2016"
63.03.08.2025,,,,,,14 Pasar Lama,,
63.03.08.2026,,,,,,15 Sungai Tabuk,,
,,,,,,Simpang Lima,,"Menjadi wil Kec. Cintapuri Darussalam, Perda No. 12/2016"
,,,,,,Karya Makmur,,"Menjadi wil Kec. Cintapuri Darussalam, Perda No. 12/2016"
,,,,,,Sindang Jaya,,"Menjadi wil Kec. Cintapuri Darussalam, Perda No. 12/2016"
,,,,,,Sumber Sari,,"Menjadi wil Kec. Cintapuri Darussalam, Perda No. 12/2016"
63.03.09,,,,9Pengaron,-,12,,"Perubahan nama Kec. Pengarom sesuai Surat Gub. No.
120/00738/PEM tgl 15 Juni 2020 dan Kep. Gub. Kalsel No. 0121/1983
serta Surat MDN No. 138/2389/BAK tgl 19-08-2020 hal Penyampaian
Perbaikan Nama Kecamatan"
63.03.09.2001,,,,,,1 Maniapun,,
63.03.09.2002,,,,,,2 Lok Tunggul,,
63.03.09.2003,,,,,,3 Lobang Baru,,
63.03.09.2004,,,,,,4 Pengaron,,"perbaikan nama dari Pengaron menjadi Pengarom, keputusan gub
Kalimantan selatan No.0121/1983.
Perbaikan nama desa semula Pengarom menjadi Pengaron, sesuai:
Kep. Gub. Kepala Daerah Tingkat I Kalsel No. 0121 Tahun 1983; dan
Surat Dirjen Bina Pemdes No. 145/2979/BPD tgl 13 Juni 2022."
63.03.09.2005,,,,,,5 Benteng,,
63.03.09.2006,,,,,,6 Ati'im,,
63.03.09.2007,,,,,,7 Alimukim,,
63.03.09.2008,,,,,,8 Panyiuran,,"Perbaikan nama sesuai Srt Ditjen Pemdes No.145/1820/SET tgl 15 Nov
2018 hal penyampaian hasil validasi"
63.03.09.2009,,,,,,9 Antaraku,,
63.03.09.2010,,,,,,10 Mangkauk,,
