NO,KODE,"NAMA PROVINSI,
KABUPATEN / KOTA,
KECAMATAN",IBUKOTA,J U M L A H,,,,,"LUAS
WILAYAH
(Km2) *","JUMLAH
PENDUDUK
(Jiwa) **",K ET E R A N G A N
,,,,KAB,KOTA,KEC,KEL,DESA,,,
,92.09.12,12 Mubrani,,,,,,10,,,"Semula wil. Kab. Manokwari Putusan MK No.127/PUU-VII/2009
Tanggal 25 Januari 2010"
,92.09.13,13 Bikar,,,,,,10,,,"Pemekaran sebagian wil Kec. Sausapor, Perda No. 16 tahun 2011"
,92.09.14,14 Bamusbama,,,,,,6,,,"Pemekaran sebagian wil Kecamatan Yembun, Perda No 16 tahun 2011"
,92.09.15,15 Ases,,,,,,4,,,"Pemekaran sebagian wil Kecamatan Fef dan Miyah Perda No 16 tahun
2011"
,92.09.16,16 Miyah Selatan,,,,,,9,,,Pemekaran sebagian wil Kecamatan Miyah Perda No 16 tahun 2011
,92.09.17,17 Ireres,,,,,,7,,,Pemekaran sebagian wil Kecamatan Miyah Perda No 16 tahun 2011
,92.09.18,18 Tobouw,,,,,,6,,,Pemekaran sebagian wil Kecamatan Kwoor Perda No 16 tahun 2011
,92.09.19,19 Wilhem Roumbouts,,,,,,4,,,Pemekaran sebagian wil Kecamatan Miyah Perda No 16 tahun 2011
,92.09.20,20 Tinggouw,,,,,,5,,,Pemekaran sebagian wil Kecamatan Fef Perda No 16 tahun 2011
,92.09.21,21 Kwesefo,,,,,,9,,,Pemekaran sebagian wil Kecamatan Kwoor Perda No 16 tahun 2011
,92.09.22,22 Mawabuan,,,,,,6,,,Pemekaran wil Kec Senopi Perda No 14/2012
,92.09.23,23 Kebar Timur,,,,,,10,,,Pemekaran Wilayah Kecamatan Kebar Perda No 14/2012
,92.09.24,24 Kebar Selatan,,,,,,10,,,Pemekaran Wil Kec Kebar Perda No 14/2012
,92.09.25,25 Manekar,,,,,,10,,,Pemekaran Wil Kec kebar Perda No 14/2012
,92.09.26,26 Mpur,,,,,,7,,,Pemekaran wil Kec Amberbaken Perda No 14/2012
,92.09.27,27 Amberbaken Barat,,,,,,5,,,Pemekaran Wil Kec Amberbaken Perda No 14/2012
,92.09.28,28 Kasi,,,,,,12,,,Pemekaran Wil Kec Mubrani Perda No 14/2012
,92.09.29,29 Selemkai,,,,,,5,,,Pemekaran Wil Kec Moraid Perda No 14/2012
,92.10,10 KAB. MAYBRAT,Aifat,,,24,1,259,5.386,44.686,"Luas Wilayah Indikatif sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022"
,92.10.01,1 Aifat,,,,,,23,,,Semula wil. Kab. Sorong
,92.10.02,2 Aifat Utara,,,,,,20,,,Semula wil. Kab. Sorong
,92.10.03,3 Aifat Timur,,,,,,9,,,Semula wil. Kab. Sorong
,92.10.04,4 Aifat Selatan,,,,,,16,,,Semula wil. Kab. Sorong
,92.10.05,5 Aitinyo Barat,,,,,,9,,,Semula wil. Kab. Sorong
,92.10.06,6 Aitinyo,,,,,,17,,,Semula wil. Kab. Sorong
,92.10.07,7 Aitinyo Utara,,,,,,12,,,Semula wil. Kab. Sorong
,92.10.08,8 Ayamaru,,,,,1,7,,,Semula wil. Kab. Sorong
,92.10.09,9 Ayamaru Utara,,,,,,12,,,Semula wil. Kab. Sorong
,92.10.10,10 Ayamaru Timur,,,,,,8,,,Semula wil. Kab. Sorong
,92.10.11,11 Mare,,,,,,9,,,Semula wil. Kab. Sorong
,92.10.12,12 Aifat Timur Tengah,,,,,,12,,,"Pemekaran Kec. Aifat Timur Perda No. 3/2012 Tentang Pembentukan
Distrik-distrik dalam WIlayah Kabupaten Maybrat"
