K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
,,,,,,Gueipimbai,,Menjadi wil. Kec. Hink
,,,,,,Humeisi,,Menjadi wil. Kec. Hink
,,,,,,Urwong,,Menjadi wil. Kec. Hink
,,,,,,Kwaiyehep,,Menjadi wil. Kec. Hink
,,,,,,Ipingosi,,
,,,,,,Coijut,,Menjadi wil. Kec. Catubouw
,,,,,,Pinyausi,,
,,,,,,Kwok I,,Menjadi wil. Kec. Hink
,,,,,,Sinaltousi,,
,,,,,,Misangoisi,,
,,,,,,Smanggei,,
,,,,,,Kaungwam,,Menjadi wil. Kec. Catubouw
,,,,,,Mbrande,,Menjadi wil. Kec. Hink
,,,,,,Tumbeibehei,,Menjadi wil. Kec. Hink
,,,,,,Unti,,Menjadi wil. Kec. Catubouw
,,,,,,Indo Oufa,,Menjadi wil. Kec. Manokwari Utara
,,,,,,Jim,,Menjadi wil. Kec. Catubouw
,,,,,,Timtouw,,Menjadi wil. Kec. Catubouw
,,,,,,Micadiwor,,
,,,,,,Manggot,,Menjadi wil. Kec. Hink
,,,,,,Tingwoikiou,,Menjadi wil Kec. Hink
,,,,,,Binggarud,,Menjadi wil. Kec. Catubouw
,,,,,,Figoud,,
,,,,,,Kibauw,,
92.02.12,,,,4Manokwari Barat,6,4,,
92.02.12.1001,,,,,1Manokwari Barat,,,Semula wil. Kec. Manokwari
92.02.12.1002,,,,,2Sanggeng,,,Semula wil. Kec. Manokwari
92.02.12.1003,,,,,3Wosi,,,Semula wil. Kec. Manokwari
92.02.12.1004,,,,,4Amban,,,Semula wil. Kec. Manokwari
92.02.12.1005,,,,,5Padarni,,,Semula wil. Kec. Manokwari
92.02.12.1006,,,,,6Manokwari Timur,,,Semula wil. Kec. Manokwari
92.02.12.2007,,,,,,1 Udopi,,Semula wil. Kec. Manokwari
92.02.12.2008,,,,,,2 Ingramui,,"Koreksi nama sesuai Hasil Validasi Data Nama dan Kodefikasi tgl 13
Juni 2016 di Ditjen Bina Pemdes"
92.02.12.2009,,,,,,3 Soribo,,Semula wil. Kec. Manokwari
92.02.12.2010,,,,,,4 Tanah Merah Indah,,"Koreksi nama sesuai Hasil Validasi Data Nama dan Kodefikasi tgl 13
Juni 2016 di Ditjen Bina Pemdes"
92.02.13,,,,5Manokwari Timur,1,6,,
92.02.13.1001,,,,,1Pasir Putih,,,Semula wil. Kec. Manokwari
92.02.13.2002,,,,,,1 Mansinam,,Semula wil. Kec. Manokwari
92.02.13.2003,,,,,,2 Ayambori,,Semula wil. Kec. Manokwari
