K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
12.15.06.2004,,,,,,4 Pagindar,,Semula wil. Kec. Salak
12.15.07,,,,7Tinada,-,6,,Perda No. 8/2005
12.15.07.2001,,,,,,1 Kuta Babo,,Semula wil. Kec. Kerajaan
12.15.07.2002,,,,,,2 Tinada,,Semula wil. Kec. Kerajaan
12.15.07.2003,,,,,,3 Silima Kuta,,Semula wil. Kec. Kerajaan
12.15.07.2004,,,,,,4 Mahala,,Semula wil. Kec. Kerajaan
12.15.07.2005,,,,,,5 Prongil,,Semula wil. Kec. Kerajaan
12.15.07.2006,,,,,,6 Buluh Tellang,,Semula wil. Kec. Kerajaan
12.15.08,,,,8Siempat Rube,-,6,,Perda No. 8/2005
12.15.08.2001,,,,,,1 Siempat Rube II,,Semula wil. Kec. Kerajaan
12.15.08.2002,,,,,,2 Siempat Rube I,,Semula wil. Kec. Kerajaan
12.15.08.2003,,,,,,3 Mungkur,,Semula wil. Kec. Kerajaan
12.15.08.2004,,,,,,4 Siempat Rube IV,,Semula wil. Kec. Kerajaan
12.15.08.2005,,,,,,5 Kuta Jungak,,Semula wil. Kec. Kerajaan
12.15.08.2006,,,,,,6 Traju,,Perda No. 22 /2006
