NO,KODE,"NAMA PROVINSI,
KABUPATEN / KOTA,
KECAMATAN",IBUKOTA,J U M L A H,,,,,"LUAS
WILAYAH
(Km2) *","JUMLAH
PENDUDUK
(Jiwa) **",K ET E R A N G A N
,,,,KAB,KOTA,KEC,KEL,DESA,,,
,,Kiyage,,,,,,,,,"Menjadi wil. Prov. Papua Tengah; UU No 15 Tahun 2022 Tentang
Pembentukan Provinsi Papua Tengah"
,,Lumo,,,,,,,,,"Menjadi wil. Prov. Papua Tengah; UU No 15 Tahun 2022 Tentang
Pembentukan Provinsi Papua Tengah"
,,Mewoluk,,,,,,,,,"Menjadi wil. Prov. Papua Tengah; UU No 15 Tahun 2022 Tentang
Pembentukan Provinsi Papua Tengah"
,,Molanikime,,,,,,,,,"Menjadi wil. Prov. Papua Tengah; UU No 15 Tahun 2022 Tentang
Pembentukan Provinsi Papua Tengah"
,,Muara,,,,,,,,,"Menjadi wil. Prov. Papua Tengah; UU No 15 Tahun 2022 Tentang
Pembentukan Provinsi Papua Tengah"
,,Mulia,,,,,,,,,"Menjadi wil. Prov. Papua Tengah; UU No 15 Tahun 2022 Tentang
Pembentukan Provinsi Papua Tengah"
,,Gubume,,,,,,,,,"Menjadi wil. Prov. Papua Tengah; UU No 15 Tahun 2022 Tentang
Pembentukan Provinsi Papua Tengah"
,,Gurage,,,,,,,,,"Menjadi wil. Prov. Papua Tengah; UU No 15 Tahun 2022 Tentang
Pembentukan Provinsi Papua Tengah"
,,Ilamburawi,,,,,,,,,"Menjadi wil. Prov. Papua Tengah; UU No 15 Tahun 2022 Tentang
Pembentukan Provinsi Papua Tengah"
,,Ilu,,,,,,,,,"Menjadi wil. Prov. Papua Tengah; UU No 15 Tahun 2022 Tentang
Pembentukan Provinsi Papua Tengah"
,,Irimuli,,,,,,,,,"Menjadi wil. Prov. Papua Tengah; UU No 15 Tahun 2022 Tentang
Pembentukan Provinsi Papua Tengah"
,,Kalome,,,,,,,,,"Menjadi wil. Prov. Papua Tengah; UU No 15 Tahun 2022 Tentang
Pembentukan Provinsi Papua Tengah"
,91.08,8 KAB. PANIAI,Enarotali,,,,,,,,"Luas Wilayah Indikatif sesuai Surat Badan Informasi Geospasial No.
B-8.31/PBW-BIG/IGD.04.04/6/2021 Tanggal 8 Juni 2021"
,,Aradide,,,,,,,,,"Menjadi wil. Prov. Papua Tengah; UU No 15 Tahun 2022 Tentang
Pembentukan Provinsi Papua Tengah"
,,Wegee Bino,,,,,,,,,"Menjadi wil. Prov. Papua Tengah; UU No 15 Tahun 2022 Tentang
Pembentukan Provinsi Papua Tengah"
,,Wegee Muka,,,,,,,,,"Menjadi wil. Prov. Papua Tengah; UU No 15 Tahun 2022 Tentang
Pembentukan Provinsi Papua Tengah"
,,Yagai,,,,,,,,,"Menjadi wil. Prov. Papua Tengah; UU No 15 Tahun 2022 Tentang
Pembentukan Provinsi Papua Tengah"
,,Yatamo,,,,,,,,,"Menjadi wil. Prov. Papua Tengah; UU No 15 Tahun 2022 Tentang
Pembentukan Provinsi Papua Tengah"
,,Youtadi,,,,,,,,,Menjadi wil. Prov. Papua Tengah; UU No 15 Tahun 2022 Tentang
