NO,KODE,NAMA,"JUMLAH
PULAU",KETERANGAN
1,18.01,KAB. LAMPUNG SELATAN,50,
2,18.04,KAB. LAMPUNG BARAT,3,
3,18.06,KAB. TANGGAMUS,76,
4,18.07,KAB. LAMPUNG TIMUR,5,
5,18.09,KAB. PESAWARAN,36,
6,18.71,KOTA BANDAR LAMPUNG,2,
,,TOTAL,172,
