NO,KODE,NAMA,"JUMLAH
PULAU",KETERANGAN
1,32.02,KAB. SUKABUMI,9,
2,32.03,KAB. CIANJUR,4,
3,32.05,KAB. GARUT,2,
4,32.06,KAB. TASIKMALAYA,5,
5,32.12,KAB. INDRAMAYU,3,
6,32.18,KAB. PANGANDARAN,7,
,,TOTAL,30,
