K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
11.07.07.2045,,,,,,44 Glee Gapui,,"Perbaikan nama sesuai Srt Pem Aceh No.146.1/10560 tgl 13 Juni
2016, Perbaikan nama sesuai Validasi Data Nama dan Kodefikasi Desa
tgl 17 Mei 2017, Rekomedasi Ditjen BPD No. 146/3672/BPD tgl 21 Juni
2017, Srt Ditjen BPD No. 145/1820/SET tgl 15 Nov 2018.
Perbaikan nama desa semula Glee Gapu menjadi Glee Gapui, sesuai:
Qanun No. 11 Tahun 2021; dan
Surat Sekda Pem. Aceh No. 140/14270 tgl 07 September 2022."
11.07.07.2046,,,,,,45 Teungoh Suwiek,,"Perbaikan nama sesuai Validasi Data Nama dan Kodefikasi Desa tgl 17
Mei 2017 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD tgl 21
Juni 2017"
11.07.07.2047,,,,,,46 Mesjid Suwiek,,"Perbaikan nama sesuai Validasi Data Nama dan Kodefikasi Desa tgl 17
Mei 2017 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD tgl 21
Juni 2017"
11.07.07.2048,,,,,,47 Tuha Suwiek,,"Perbaikan nama sesuai Surat Pem Aceh No. 146.1/10560 tgl 13 Juni
2016 Hal Hasil Klarifikasi Nama Desa/Gampong di Aceh"
11.07.07.2049,,,,,,48 Beureudep,,
11.07.07.2050,,,,,,49 Blang Lhok Kaju,,
11.07.08,,,,6Kembang Tanjong,-,45,,
11.07.08.2001,,,,,,1 Jurong Balee,,
11.07.08.2002,,,,,,2 Aron Asan Kumbang,,
11.07.08.2003,,,,,,3 Cebrek,,
11.07.08.2004,,,,,,4 Jurong Mesjid,,
11.07.08.2005,,,,,,5 Meunasah Gantung,,
11.07.08.2006,,,,,,6 Babah Jurong,,
11.07.08.2007,,,,,,7 Keupula,,
11.07.08.2008,,,,,,8 Meunasah Jareng,,"perbaikan nama dari Jareng menjadi Meunasah Jareng,surat Bupati
Pidie No 140/2364 tgl 13 April 2021,Surat Sesditjen Bina Pemerintahan
Desa No 145/2430/BPD tgl 24 Mei 2021"
11.07.08.2009,,,,,,9 Arusan,,"Perbaikan nama sesuai Validasi Data Nama dan Kodefikasi Desa tgl 17
Mei 2017 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD tgl 21
Juni 2017"
11.07.08.2010,,,,,,10 Tanjong Krueng,,
11.07.08.2011,,,,,,11 Lancang,,
11.07.08.2012,,,,,,12 Pasi Lhok,,
11.07.08.2013,,,,,,13 Jeumeurang,,
11.07.08.2014,,,,,,14 Pusong,,
11.07.08.2015,,,,,,15 Meuraksa,,
11.07.08.2016,,,,,,16 Kayee Panyang,,
11.07.08.2017,,,,,,17 Panjoe,,"perbaikan nama dari Kampong Panjoe menjadi Panjoe,surat Bupati
Pidie No 140/2364 tgl 13 April 2021,Surat Sesditjen Bina Pemerintahan
Desa No 145/2430/BPD tgl 24 Mei 2021"
11.07.08.2018,,,,,,18 Asan,,"perbaikan nama dari Kampong Asan menjadi Asan,surat Bupati Pidie
No 140/2364 tgl 13 April 2021,Surat Sesditjen Bina Pemerintahan Desa
No 145/2430/BPD tgl 24 Mei 2021"
11.07.08.2019,,,,,,19 Meunasah Mesjid,,
,,,,,,,,
