K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
72,SULAWESI TENGAH,,,,,,,
72.08,KAB. PARIGI MOUTONG,,,23,5,278,"5.805,610","Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022"
72.08.01,,,,1Parigi,5,6,,
,,,,,,Toboli,,"Menjadi wil Kec. Parigi Utara, Perda No. 23/2007"
,,,,,,Pangi,,"Menjadi wil. Kec. Parigi Utara, Perda No. 23/2007"
,,,,,,Tindaki,,"Menjadi wil. Kec. Parigi Selatan, Perda No. 6/2006"
,,,,,,Nambaru,,"Menjadi wil. Kec. Parigi Selatan, Perda No. 6/2006"
,,,,,,Sumber Sari,,"Menjadi wil. Kec. Parigi Selatan, Perda No. 6/2006"
,,,,,,Masari,,"Menjadi wil. Kec. Parigi Selatan, Perda No. 6/2006"
,,,,,,Dolago,,"Menjadi wil. Kec. Parigi Selatan, Perda No. 6/2006"
,,,,,,Boyantongo,,"Menjadi wil. Kec. Parigi Selatan, Perda No. 6/2006"
,,,,,,Lemusa,,"Menjadi wil. Kec. Parigi Selatan, Perda No. 6/2006"
,,,,,,Olobaru,,"Menjadi wil. Kec. Parigi Selatan, Perda No. 6/2006"
72.08.01.2011,,,,,,1 Olaya,,
72.08.01.2012,,,,,,2 Pembalowo,,
72.08.01.2013,,,,,,3 Mertasari,,
,,,,,,Kayuboko,,"Menjadi wil. Kec. Parigi Barat, Perda No. 15/2007"
,,,,,,Parigimpu'u,,"Menjadi wil. Kec. Parigi Barat, Perda No. 15/2007"
,,,,,,Baliara,,"Menjadi wil. Kec. Parigi Barat, Perda No. 15/2007"
72.08.01.1017,,,,,1Masigi,,,
72.08.01.1018,,,,,2Maesa,,,
72.08.01.1019,,,,,3Loji,,,
72.08.01.1020,,,,,4Bantaya,,,
72.08.01.1021,,,,,5Kampal,,,Menjadi Kel. Perda No.2/2008
72.08.01.2022,,,,,,4 Bambalemo,,
72.08.01.2023,,,,,,5 Lebo,,
,,,,,,Petapa,,"Menjadi wil. Kec. Parigi Tengah, Perda No. 1/2008"
,,,,,,Binangga,,"Menjadi wil. Kec. Parigi Tengah, Perda No. 1/2008"
,,,,,,Pelawa,,"Menjadi wil. Kec. Parigi Tengah, Perda No. 1/2008"
,,,,,,Jononunu,,"Perda No. 11/2006, Menjadi wil. Kec. Parigi Tengah, Perda No. 1/2008"
,,,,,,Avolua,,"Perda No. 11/2006, Menjadi wil Kec. Parigi Utara, Perda No. 23/2007"
,,,,,,Air Panas,,"Perda No. 5/2007, Menjadi wil. Kec. Parigi Barat, Perda No. 15/2007"
,,,,,,Jonokalora,,"Perda No. 5/2007, Menjadi wil. Kec. Parigi Barat, Perda No. 15/2007"
,,,,,,Pelawa Baru,,"Perda No. 5/2007, Menjadi wil. Kec. Parigi Tengah, Perda No. 15/2007"
,,,,,,Matolele,,"Perda No. 21/2007, Menjadi wil. Kec. Parigi Tengah, Perda No. 1/2008"
,,,,,,Toboli Barat,,"Perda No. 21/2007, Menjadi wil. Kec. Parigi Utara, Perda No. 23/2007"
,,,,,,Sakinah Jaya,,"Perda No. 22/2007, Menjadi wil. Kec. Parigi Utara, Perda No. 23/2007"
,,,,,,,,
