K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
21.71.10.1006,,,,,6Sungai Panas,,,Perda No. 2/2005
21.71.11,,,,11Sagulung,6,-,,Perda No. 2/2005
21.71.11.1001,,,,,1Tembesi,,,
21.71.11.1002,,,,,2Sungai Binti,,,
21.71.11.1003,,,,,3Sungai Lekop,,,
21.71.11.1004,,,,,4Sagulung Kota,,,
21.71.11.1005,,,,,5Sungai Langkai,,,
21.71.11.1006,,,,,6Sungai Pelunggut,,,
21.71.12,,,,12Batu Aji,4,-,,Perda No. 2/2005
21.71.12.1001,,,,,1Tanjung Uncang,,,Semula wil. Kec. Sekupang
21.71.12.1002,,,,,2Buliang,,,Perda No. 2/2005
21.71.12.1003,,,,,3Kibing,,,
21.71.12.1004,,,,,4Bukit Tempayan,,,
