K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
18.01.23.2001,,,,,,1 Mekar Sari,,Semula wil. Kec. Katibung
18.01.23.2002,,,,,,2 Sumber Agung,,Semula wil. Kec. Katibung
18.01.23.2003,,,,,,3 Talang Way Sulan,,Semula wil. Kec. Katibung
18.01.23.2004,,,,,,4 Pamulihan,,Semula wil. Kec. Katibung
18.01.23.2005,,,,,,5 Purwodadi,,Semula wil. Kec. Katibung
18.01.23.2006,,,,,,6 Sukamaju,,"Semula wil. Kec. Katibung; ND Rekom No 140/4495/BPD tanggal 29
Juni 2016"
18.01.23.2007,,,,,,7 Banjarsari,,"Semula wil. Kec. Katibung; ND Rekom No 140/4495/BPD tanggal 29
Juni 2016"
18.01.23.2008,,,,,,8 Karang Pucung,,Semula wil. Kec. Katibung
18.01.24,,,,17Way Panji,-,4,,Perda No. 3/2006
18.01.24.2001,,,,,,1 Sidoharjo,,"Semula wil. Kec. Sidomulyo; ND Rekom No 140/4495/BPD tanggal 29
Juni 2016"
18.01.24.2002,,,,,,2 Sidomakmur,,"Semula wil. Kec. Sidomulyo; ND Rekom No 140/4495/BPD tanggal 29
Juni 2016"
18.01.24.2003,,,,,,3 Sidoreno,,"Semula wil. Kec. Sidomulyo; ND Rekom No 140/4495/BPD tanggal 29
Juni 2016"
18.01.24.2004,,,,,,4 Bali Nuraga,,Semula wil. Kec. Sidomulyo
