K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
53,NUSA TENGGARA TIMUR,,,,,,,
53.02,KAB TIMOR TENGAH SELATAN,,,32,12,266,"3.933,151","Luas Wilayah Definitif, PBW, sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022"
53.02.01,,,,1Kota Soe,11,2,,
53.02.01.1001,,,,,1SoE,,,
53.02.01.1002,,,,,2Cendana,,,
53.02.01.1003,,,,,3Oebesa,,,
53.02.01.1004,,,,,4Taubneno,,,
53.02.01.1005,,,,,5Nonohonis,,,
53.02.01.1006,,,,,6Karang Sirih,,,
53.02.01.1007,,,,,7Nunumeu,,,
53.02.01.1008,,,,,8Kobekamusa,,,
53.02.01.1009,,,,,9Oe Kefan,,,
53.02.01.1010,,,,,10Kota Baru,,,
53.02.01.1011,,,,,11Kampung Baru,,,
53.02.01.2012,,,,,,1 Kuatae,,
53.02.01.2013,,,,,,2 Noemeto,,
53.02.02,,,,2Mollo Selatan,-,7,,
53.02.02.2001,,,,,,1 Biloto,,
,,,,,,Besana,,"Menjadi wil. Kec. Mollo Barat, Perda No. 2/2006"
53.02.02.2003,,,,,,2 Kesetnana,,
,,,,,,Fatukoko,,"Menjadi wil. Kec. Mollo Barat, Perda No. 2/2006"
,,,,,,Koa,,"Menjadi wil. Kec. Mollo Barat, Perda No. 2/2006"
53.02.02.2006,,,,,,3 Tuasene,,
,,,,,,Binaus,,"Menjadi wil. Kec. Mollo Tengah, Perda No. 29/2007"
53.02.02.2008,,,,,,4 Oinlasi,,
,,,,,,Oelbubuk,,"Menjadi wil. Kec. Mollo Tengah, Perda No. 29/2007"
53.02.02.2010,,,,,,5 Bisene,,
,,,,,,Kualeu,,"Menjadi wil. Kec. Mollo Tengah, Perda No. 29/2007"
53.02.02.2012,,,,,,6 Noinbila,,
53.02.02.2013,,,,,,7 Bikekneno,,
,,,,,,Salbait,,"Menjadi wil. Kec. Mollo Barat, Perda No. 2/2006"
,,,,,,Oel Uban,,"Menjadi wil. Kec. Mollo Barat, Perda No. 2/2006"
,,,,,,Nekemunifeto,,"Menjadi wil. Kec. Mollo Tengah, Perda No. 29/2007"
,,,,,,Oel'Ekam,,"Menjadi wil. Kec. Mollo Tengah, Perda No. 29/2007"
,,,,,,Pika,,"Menjadi wil. Kec. Mollo Tengah, Perda No. 29/2007"
53.02.03,,,,3Mollo Utara,-,18,,
53.02.03.2001,,,,,,1 O'besi,,
,,,,,,,,
