K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
71.02.23.2004,,,,,0,4 Tateli Weru,,Semula wil Kec. Pineleng Perda No. 2/2012
71.02.23.2005,,,,,0,5 Tateli Satu,,"PMD, Semula wil Kec. Pineleng Perda No. 2/2012"
71.02.23.2006,,,,,0,6 Tateli Dua,,"Pemekaran desa Tateli Perda No. 15/2011, Semula wil Kec. Pineleng Perda No.
2/2012"
,,,,,,,,
71.02.23.2007,,,,,0,7 Tateli Tiga,,"Pemekaran desa Tateli Perda No. 15/2011, Semula wil Kec. Pineleng Perda No.
2/2012"
,,,,,,,,
71.02.23.2008,,,,,0,8 Koha,,Semula wil Kec. Pineleng Perda No. 2/2012
71.02.23.2009,,,,,0,9 Koha Barat,,"Pemekaran desa Koha Perda No. 13/2011, Semula wil Kec. Pineleng Perda No.
2/2012"
,,,,,,,,
71.02.23.2010,,,,,0,10 Koha Timur,,"Pemekaran desa Koha Perda No. 13/2011, Semula wil Kec. Pineleng Perda No.
2/2012"
,,,,,,,,
71.02.23.2011,,,,,0,11 Koha Selatan,,"Pemekaran desa Koha Perda No. 13/2011, Semula wil Kec. Pineleng Perda No.
2/2012"
,,,,,,,,
71.02.23.2012,,,,,0,12 Agotey,,Semula wil Kec. Pineleng Perda No. 2/2012
71.02.24,,,,24Tombariri Timur,-,10,,Pemekaran Kec. Tombariri Perda No. 3/2012
71.02.24.2001,,,,,0,1 Lemoh,,Semula wil Kec. Tombariri Perda No. 3/2012
71.02.24.2002,,,,,0,2 Lemoh Barat,,"PMD, Pemekaran desa Lemoh Perda No. 11/2011, Semula wil Kec. Tombariri Perda
No. 3/2012"
,,,,,,,,
71.02.24.2003,,,,,0,3 Lemoh Timur,,"PMD, Pemekaran desa Lemoh Perda No. 11/2011, Semula wil Kec. Tombariri Perda
No. 3/2012"
,,,,,,,,
71.02.24.2004,,,,,0,4 Lemoh Uner,,"Pemekaran desa Lemoh Perda No. 13/2011, Semula wil Kec. Tombariri Perda No.
3/2012"
,,,,,,,,
71.02.24.2005,,,,,0,5 Lolah,,"Pemekaran desa Lolah Perda No. 13/2011, Semula wil Kec. Tombariri Perda No.
3/2012"
,,,,,,,,
71.02.24.2006,,,,,0,6 Lolah Satu,,Semula wil Kec. Tombariri Perda No. 3/2012
71.02.24.2007,,,,,0,7 Lolah Dua,,Semula wil Kec. Tombariri Perda No. 3/2012
71.02.24.2008,,,,,0,8 Lolah Tiga,,"PMD, Pemekaran desa Lolah Dua Perda No. 11/2011, Semula wil Kec. Tombariri
Perda No. 3/2012"
,,,,,,,,
71.02.24.2009,,,,,0,9 Ranotongkor,,Semula wil Kec. Tombariri Perda No. 3/2012
71.02.24.2010,,,,,0,10 Ranotongkor Timur,,"PMD, Pemekaran desa Ronotongkor Perda No. 11/2011, Semula wil Kec. Tombariri
Perda No. 3/2012"
,,,,,,,,
71.02.25,,,,25Tompaso Barat,-,10,,Pemekaran Kec. Tompaso Perda No. 4/2012
71.02.25.2001,,,,,0,1 Pinaesaan,,"Pemekaran desa Tempok & Talikuran Perda No. 13/2011, Semula wil Kec. Tompaso
Perda No. 4/2012"
,,,,,,,,
71.02.25.2002,,,,,0,2 Tompaso Dua,,Semula wil Kec. Tompaso Perda No. 4/2012
71.02.25.2003,,,,,0,3 Tompaso II Utara,,"Pemekaran desa Tompaso Perda No. 13/2011, Semula wil Kec. Tompaso Perda No.
4/2012"
,,,,,,,,
71.02.25.2004,,,,,0,4 Pinabetengan Utara,,"PMD, Pemekaran desa Kamanga Perda No.11/2011, Semula wil Kec. Tompaso
Perda No. 4/2012"
,,,,,,,,
71.02.25.2005,,,,,0,5 Pinabetengan,,Semula wil Kec. Tompaso Perda No. 4/2012
71.02.25.2006,,,,,0,6 Pinabetengan Selatan,,"Pemekaran desa Pinabetengan Perda No. 13/2011, Semula wil Kec. Tompaso Perda
No. 4/201231"
,,,,,,,,
71.02.25.2007,,,,,0,7 Tonsewer,,Semula wil Kec. Tompaso Perda No. 4/201231
71.02.25.2008,,,,,0,8 Tonsewer Selatan,,"Pemekaran desa Tonsewer Perda No. 13/2011, Semula wil Kec. Tompaso Perda No.
4/201231"
,,,,,,,,
71.02.25.2009,,,,,0,9 Touure,,Semula wil Kec. Tompaso Perda No. 4/201231
71.02.25.2010,,,,,0,10 Touure Dua,,"Pemekaran desa Toure Perda No. 13/2011, Semula wil Kec. Tompaso Perda No.
4/201231"
,,,,,,,,
