Kode Pulau,"Nama Provinsi, Kabupaten/Kota, Pulau",Jumlah,Kordinat,Keterangan
65.01.40115,Pulau Tundukul,,"03°12'25.47"" U 117°15'37.33"" T",TBP
65.02,KAB. MALINAU,7,,
65.02.40001,Pulau Betung,,"03°33'23.48"" U 116°36'16.15"" T",
65.02.40002,Pulau Kijang,,"03°35'56.81"" U 116°38'03.43"" T",
65.02.40003,Pulau Singai,,"03°31'52.30"" U 116°30'08.43"" T",
65.02.40004,Pulau Tagop,,"03°31'11.05"" U 116°31'35.34"" T",
65.02.40005,Pulau Taras,,"03°31'25.77"" U 116°33'21.82"" T",
65.02.40006,Pulau Tikus,,"03°36'11.31"" U 116°38'36.65"" T",
65.02.40007,Pulau Ujang Ujang,,"03°34'50.57"" U 116°36'32.98"" T",
65.03,KAB. NUNUKAN,28,,
65.03.40001,Pulau Apastual,,"03°53'53.78"" U 117°38'53.71"" T",TBP
65.03.40002,Pulau Aus,,"03°49'16.00"" U 117°46'19.99"" T",TBP
65.03.40003,Pulau Bujung Payau,,"03°42'51.34"" U 117°23'52.53"" T",
65.03.40004,Pulau Itai,,"03°56'49.99"" U 117°33'55.00"" T",TBP
65.03.40005,Pulau Iting-Iting Besar,,"03°47'18.49"" U 117°45'14.40"" T",
65.03.40006,Pulau Iting-Iting Kecil,,"03°46'16.90"" U 117°47'59.60"" T",
65.03.40007,Pulau Iting-Iting Pungguk,,"03°46'28.20"" U 117°42'50.29"" T",
65.03.40008,Pulau Kalakisan,,"03°47'33.59"" U 116°42'59.92"" T",
65.03.40009,Pulau Kalampising,,"03°46'47.43"" U 116°43'58.60"" T",
65.03.40010,Pulau Kanduangan,,"04°08'02.10"" U 117°27'32.40"" T",
65.03.40011,Pulau Karang Unarang,,"04°00'37.92"" U 118°04'58.08"" T",TBP (PPKT)
65.03.40012,Pulau Liu Gau,,"03°46'21.50"" U 117°28'38.30"" T",
65.03.40013,Pulau Mancuanan,,"03°55'47.39"" U 117°25'40.69"" T",
65.03.40014,Pulau Nunukan,,"04°03'49.63"" U 117°39'53.47"" T",BP
65.03.40015,Pulau Pampang,,"03°57'46.85"" U 117°30'46.96"" T",TBP
65.03.40016,Pulau Pelanduk,,"04°04'55.11"" U 117°29'00.31"" T",TBP
65.03.40017,Pulau Pulibulu,,"04°02'42.69"" U 117°28'50.07"" T",TBP
65.03.40018,Pulau Sebatik,,"04°08'35.69"" U 117°47'14.65"" T",BP (PPKT)
65.03.40019,Pulau Sekapal,,"04°08'53.22"" U 117°32'08.75"" T",TBP
65.03.40020,Pulau Sinelak,,"04°03'31.03"" U 117°29'03.94"" T",TBP
65.03.40021,Pulau Sinualan,,"04°00'49.30"" U 117°27'26.21"" T",TBP
65.03.40022,Pulau Tanjungulan,,"04°09'03.80"" U 117°19'20.39"" T",
65.03.40023,Pulau Tanjungulan Lumot,,"04°07'53.06"" U 117°17'44.02"" T",
65.03.40024,Pulau Tembelian,,"03°46'57.20"" U 117°42'28.69"" T",
65.03.40025,Pulau Tentagu,,"04°05'03.59"" U 117°21'03.60"" T",
65.03.40026,Pulau Tidongsalong,,"04°03'38.96"" U 117°27'07.01"" T",TBP
65.03.40027,Pulau Tidongsalong Lumot,,"04°04'16.11"" U 117°28'28.08"" T",TBP
65.03.40028,Pulau Tinabasan,,"04°07'22.00"" U 117°33'43.99"" T",TBP
65.04,KAB. TANA TIDUNG,43,,
65.04.40001,Pulau Abas,,"03°39'27.39"" U 116°58'28.54"" T",TBP
