NO,KODE,"NAMA PROVINSI,
KABUPATEN / KOTA,
KECAMATAN",IBUKOTA,J U M L A H,,,,,"LUAS
WILAYAH
(Km2) *","JUMLAH
PENDUDUK
(Jiwa) **",K ET E R A N G A N
,,,,KAB,KOTA,KEC,KEL,DESA,,,
,21.71,6 KOTA BATAM,Batam,,,12,64,0,1.035,1.207.082,"Luas Wilayah Definitif, PGP sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022 (tidak
ada batas darat dengan kab/kota lainnya)."
,21.71.01,1 Belakang Padang,,,,,6,,,,
,21.71.02,2 Batu Ampar,,,,,4,,,,
,21.71.03,3 Sekupang,,,,,7,,,,
,21.71.04,4 Nongsa,,,,,4,,,,
,21.71.05,5 Bulang,,,,,6,,,,
,21.71.06,6 Lubuk Baja,,,,,5,,,,
,21.71.07,7 Sei Beduk,,,,,4,,,,
,21.71.08,8 Galang,,,,,8,,,,Perda No. 2/2005
,21.71.09,9 Bengkong,,,,,4,,,,Perda No. 2/2005
,21.71.10,10 Batam Kota,,,,,6,,,,Perda No. 2/2005
,21.71.11,11 Sagulung,,,,,6,,,,Perda No. 2/2005
,21.71.12,12 Batu Aji,,,,,4,,,,Perda No. 2/2005
,21.72,7 KOTA TANJUNG PINANG,Tanjung Pinang,,,4,18,0,150,229.553,"Luas Wilayah Definitif, PBW sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
,21.72.01,1 Tanjung Pinang Barat,,,,,4,,,,
,21.72.02,2 Tanjung Pinang Timur,,,,,5,,,,
,21.72.03,3 Tanjung Pinang Kota,,,,,4,,,,
,21.72.04,4 Bukit Bestari,,,,,5,,,,
JUMLAH,,,,5,2,80,144,275,8.270,2.101.215,
