NO,KODE,NAMA,"JUMLAH
PULAU",KETERANGAN
1,11.01,KAB. ACEH SELATAN,6,
2,11.03,KAB. ACEH TIMUR,8,
3,11.06,KAB. ACEH BESAR,42,
4,11.07,KAB. PIDIE,1,
5,11.09,KAB. SIMEULUE,144,
6,11.10,KAB. ACEH SINGKIL,80,
7,11.14,KAB. ACEH JAYA,43,
8,11.15,KAB. NAGAN RAYA,4,
9,11.16,KAB. ACEH TAMIANG,9,
10,11.71,KOTA BANDA ACEH,1,
11,11.72,KOTA SABANG,13,
12,11.74,KOTA LANGSA,5,
13,11.75,KOTA SUBULUSSALAM,7,
,,TOTAL,363,
