NO,KODE,"NAMA PROVINSI,
KABUPATEN / KOTA,
KECAMATAN",IBUKOTA,J U M L A H,,,,,"LUAS
WILAYAH
(Km2) *","JUMLAH
PENDUDUK
(Jiwa) **",K ET E R A N G A N
,,,,KAB,KOTA,KEC,KEL,DESA,,,
XXIV,65,KALIMANTAN UTARA,,4,1,55,35,447,70.101,709.620,
,65.01,1 KAB. BULUNGAN,Tanjung Selor,,,10,7,74,13.880,157.544,"Semula wil. Prov. Kalimantan Timur.
Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
,65.01.01,1 Tanjung Palas,,,,,4,5,,,
,65.01.02,2 Tanjung Palas Barat,,,,,,5,,,
,65.01.03,3 Tanjung Palas Utara,,,,,,6,,,
,65.01.04,4 Tanjung Palas Timur,,,,,,8,,,
,65.01.05,5 Tanjung Selor,,,,,3,6,,,
,65.01.06,6 Tanjung Palas Tengah,,,,,,3,,,
,65.01.07,7 Peso,,,,,,10,,,
,65.01.08,8 Peso Hilir,,,,,,6,,,
,65.01.09,9 Sekatak,,,,,,22,,,
,65.01.10,10 Bunyu,,,,,,3,,,
,65.02,2 KAB. MALINAU,Malinau,,,15,0,109,38.902,82.120,"Semula wil. Prov. Kalimantan Timur.
Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
,65.02.01,1 Mentarang,,,,,,6,,,
,65.02.02,2 Malinau Kota,,,,,,6,,,
,65.02.03,3 Pujungan,,,,,,9,,,
,65.02.04,4 Kayan Hilir,,,,,,5,,,
,65.02.05,5 Kayan Hulu,,,,,,5,,,
,65.02.06,6 Malinau Selatan,,,,,,9,,,
,65.02.07,7 Malinau Utara,,,,,,12,,,
,65.02.08,8 Malinau Barat,,,,,,9,,,
,65.02.09,9 Sungai Boh,,,,,,6,,,
,65.02.10,10 Kayan Selatan,,,,,,5,,,
,65.02.11,11 Bahau Hulu,,,,,,6,,,
,65.02.12,12 Mentarang Hulu,,,,,,10,,,
,65.02.13,13 Malinau Selatan Hilir,,,,,,8,,,"Pemekaran sebagian Kec. Malinau Selatan, Perda No. 1/2012"
,65.02.14,14 Malinau Selatan Hulu,,,,,,8,,,"Pemekaran sebagian Kec. Malinau Selatan, Perda No. 1/2012"
,65.02.15,15 Sungai Tubu,,,,,,5,,,"Pemekaran sebagian Kec. Mentarang, Perda No. 1/2012"
