K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
13.77.03.2006,,,,,,1 Pasir Sunur,,"Nagari Pasir Sunur - PMD, Perubahan status sesuai Surat Prov
Sumatera Barat No. 120/341/Pem-2012 tanggal 23-11-2012"
13.77.03.2007,,,,,,2 Balai Kurai Taji,,"Nagari Kurai Taji - PMD, Perubahan status sesuai Surat Prov Sumatera
Barat No. 120/341/Pem-2012 tanggal 23-11-2012"
13.77.03.2008,,,,,,3 Pauh Kurai Taji,,"Nagari Kurai Taji - PMD, Perubahan status sesuai Surat Prov Sumatera
Barat No. 120/341/Pem-2012 tanggal 23-11-2012"
13.77.03.2009,,,,,,4 Simpang,,"Nagari Kurai Taji - PMD, Perubahan status sesuai Surat Prov Sumatera
Barat No. 120/341/Pem-2012 tanggal 23-11-2012"
13.77.03.2010,,,,,,5 Toboh Palabah,,"Nagari Kurai Taji - PMD, Perubahan status sesuai Surat Prov Sumatera
Barat No. 120/341/Pem-2012 tanggal 23-11-2012"
13.77.03.2011,,,,,,6 Marabau,,"Nagari Kurai Taji - PMDPerubahan status sesuai Surat Prov Sumatera
Barat No. 120/341/Pem-2012 tanggal 23-11-2012"
13.77.03.2012,,,,,,7 Batang Tajongkek,,"Nagari Kurai Taji - PMD,Perubahan status sesuai Surat Prov Sumatera
Barat No. 120/341/Pem-2012 tanggal 23-11-2012"
13.77.03.2013,,,,,,8 Sikabu,,"Nagari Kurai Taji - PMD, Perubahan status sesuai Surat Prov Sumatera
Barat No. 120/341/Pem-2012 tanggal 23-11-2012"
13.77.03.2014,,,,,,9 Sungai Kasai,,"Nagari Kurai Taji - PMD,Perubahan status sesuai Surat Prov Sumatera
Barat No. 120/341/Pem-2012 tanggal 23-11-2012"
13.77.03.2015,,,,,,10 Palak Aneh,,"Nagari Kurai Taji - PMD, Perubahan status sesuai Surat Prov Sumatera
Barat No. 120/341/Pem-2012 tanggal 23-11-2012"
13.77.03.2016,,,,,,11 Kampung Apar,,"Nagari Kurai Taji - PMD, Perubahan status sesuai Surat Prov Sumatera
Barat No. 120/341/Pem-2012 tanggal 23-11-2012"
13.77.03.2017,,,,,,12 Marunggi,,"Nagari Kurai Taji - PMD, Perubahan status sesuai Surat Prov Sumatera
Barat No. 120/341/Pem-2012 tanggal 23-11-2012"
13.77.03.2018,,,,,,13 Taluk,,"Nagari Kurai Taji - PMD, Perubahan status sesuai Surat Prov Sumatera
Barat No. 120/341/Pem-2012 tanggal 23-11-2012"
13.77.03.2019,,,,,,14 Padang Cakur,,"Nagari Kurai Taji - PMD, Perubahan status sesuai Surat Prov Sumatera
Barat No. 120/341/Pem-2012 tanggal 23-11-2012"
13.77.03.2020,,,,,,15 Punggung Lading,,"Nagari Lareh Nan Panjang - PMD, Perubahan status sesuai Surat Prov
Sumatera Barat No. 120/341/Pem-2012 tanggal 23-11-2012"
13.77.03.2021,,,,,,16 Rambai,,"Nagari Lareh Nan Panjang - PMD, Perubahan status sesuai Surat Prov
Sumatera Barat No. 120/341/Pem-2012 tanggal 23-11-2012"
13.77.04,,,,4Pariaman Timur,-,16,,Perda No. 10/2009
13.77.04.2001,,,,,,1 Talago Sarik,,"Semula wil. Kec. Pariaman Timur, Perda No. 5/2008 - PMD, Perubahan
status sesuai Surat Prov Sumatera Barat No. 120/341/Pem-2012
tanggal 23-11-2012"
13.77.04.2002,,,,,,2 Pakasai,,"Semula wil. Kec. Pariaman Tengah, Perda No. 5/2008 - PMD,
Perubahan status sesuai Surat Prov Sumatera Barat No.
120/341/Pem-2012 tanggal 23-11-2012"
13.77.04.2003,,,,,,"3 Kampung Baru
Padusunan",,"Semula wil. Kec. Pariaman Tengah, Perda No. 5/2008 - PMD,
Perubahan status sesuai Surat Prov Sumatera Barat No.
120/341/Pem-2012 tanggal 23-11-2012"
13.77.04.2004,,,,,,4 Kampung Gadang,,"Semula wil. Kec. Pariaman Tengah, Perda No. 5/2008 - PMD,
Perubahan status sesuai Surat Prov Sumatera Barat No.
120/341/Pem-2012 tanggal 23-11-2012"
13.77.04.2005,,,,,,5 Koto Marapak,,"Semula wil. Kec. Pariaman Timur, Perda No. 5/2008 - PMD, Perubahan
status sesuai Surat Prov Sumatera Barat No. 120/341/Pem-2012
tanggal 23-11-2012"
13.77.04.2006,,,,,,6 Batang Kabung,,"Semula wil. Kec. Pariaman Timur, Perda No. 5/2008"
