NO,KODE,NAMA,"JUMLAH
PULAU",KETERANGAN
,13,SUMATERA BARAT,3,
1,13.01,KAB. PESISIR SELATAN,48,
2,13.05,KAB. PADANG PARIAMAN,1,
3,13.06,KAB. AGAM,2,
4,13.09,KAB. KEPULAUAN MENTAWAI,114,
5,13.12,KAB. PASAMAN BARAT,26,
6,13.71,KOTA PADANG,21,
7,13.77,KOTA PARIAMAN,4,
,,TOTAL,219,
