NO,KODE,"NAMA PROVINSI,
KABUPATEN / KOTA,
KECAMATAN",IBUKOTA,J U M L A H,,,,,"LUAS
WILAYAH
(Km2) *","JUMLAH
PENDUDUK
(Jiwa) **",K ET E R A N G A N
,,,,KAB,KOTA,KEC,KEL,DESA,,,
,,Koragi,,,,,,,,,"Menjadi wil Prov. Papua Pegunungan; UU No. 16 Tahun 2022 tentang
Pembentukan Provinsi Papua Pegunungan"
,,Kurulu,,,,,,,,,"Menjadi wil Prov. Papua Pegunungan; UU No. 16 Tahun 2022
tentang Pembentukan Provinsi Papua Pegunungan"
,,Libarek,,,,,,,,,"Menjadi wil Prov. Papua Pegunungan; UU No. 16 Tahun 2022 tentang
Pembentukan Provinsi Papua Pegunungan"
,,Maima,,,,,,,,,"Menjadi wil Prov. Papua Pegunungan; UU No. 16 Tahun 2022 tentang
Pembentukan Provinsi Papua Pegunungan"
,,Asotipo,,,,,,,,,"Menjadi wil Prov. Papua Pegunungan; UU No. 16 Tahun 2022 tentang
Pembentukan Provinsi Papua Pegunungan"
,,Bolakme,,,,,,,,,"Semula wil Prov. Papua; UU No. 16 Tahun 2022 tentang Pembentukan
Provinsi Papua Pegunungan"
,,Bpiri,,,,,,,,,"Menjadi wil Prov. Papua Pegunungan; UU No. 16 Tahun 2022 tentang
Pembentukan Provinsi Papua Pegunungan"
,,Bugi,,,,,,,,,"Menjadi wil Prov. Papua Pegunungan; UU No. 16 Tahun 2022 tentang
Pembentukan Provinsi Papua Pegunungan"
,,Hubikiak,,,,,,,,,"Menjadi wil Prov. Papua Pegunungan; UU No. 16 Tahun 2022 tentang
Pembentukan Provinsi Papua Pegunungan"
,,Hubikosi,,,,,,,,,"Menjadi wil Prov. Papua Pegunungan; UU No. 16 Tahun 2022 tentang
Pembentukan Provinsi Papua Pegunungan"
,91.03,3 KAB. JAYAPURA,Jayapura,,,19,5,139,14.082,200.224,"Luas Wilayah Indikatif, PBW, sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022"
,91.03.01,1 Sentani,,,,,3,7,,,
,91.03.02,2 Sentani Timur,,,,,,7,,,
,91.03.03,3 Depapre,,,,,,8,,,
,91.03.04,4 Sentani Barat,,,,,,5,,,
,91.03.05,5 Kemtuk,,,,,,12,,,
,91.03.06,6 Kemtuk Gresi,,,,,1,11,,,
,91.03.07,7 Nimboran,,,,,1,13,,,
,91.03.08,8 Nimbokrang,,,,,,9,,,
,91.03.09,9 Unurum Guay,,,,,,6,,,
,91.03.10,10 Demta,,,,,,7,,,
,91.03.11,11 Kaureh,,,,,,5,,,
,91.03.12,12 Ebungfao,,,,,,5,,,
,91.03.13,13 Waibu,,,,,,7,,,
,91.03.14,14 Nambluong,,,,,,9,,,
,91.03.15,15 Yapsi,,,,,,9,,,
