K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
17.09.11,,,,11Semidang Lagan,-,11,,"Pemekaran sebagian wil Kec. Karang Tinggi, Kec. Talang Empat, dan
Kec. Taba Penanjung, Perda No. 3/2018"
17.09.11.2001,,,,,,1 Pagar Gunung,,"Pemekaran sebagian Desa Karang Nanding, Perda No. 13/2011,
Semula wil Kec. Karang Tinggi, Perda No. 3/2018"
17.09.11.2002,,,,,,2 Karang Nanding,,"Semula wil Kec. Karang Tinggi, Perda No. 3/2018"
17.09.11.2003,,,,,,3 Semidang,,"Pemekaran sebagian Desa Karang Nanding, Perda No. 13/2011,
Semula wil Kec. Karang Tinggi, Perda No. 3/2018"
17.09.11.2004,,,,,,4 Gajah Mati,,"Pemekaran sebagian Desa Karang Nanding, Perda No. 13/2011,
Semula wil Kec. Karang Tinggi, Perda No. 3/2018"
17.09.11.2005,,,,,,5 Padang Siring,,"Pemekaran sebagian Desa Karang Nanding, Perda No. 13/2011,
Semula wil Kec. Karang Tinggi, Perda No. 3/2018"
17.09.11.2006,,,,,,6 Lagan Bungin,,"Semula wil Kec. Talang Empat, Perda No. 3/2018"
17.09.11.2007,,,,,,7 Pagar Jati,,"Pemekaran sebagian Desa Lagan Bungin, Perda No. 13/2011, Semula
wil Kec. Talang Empat, Perda No. 3/2018"
17.09.11.2008,,,,,,8 Taba Lagan,,"Semula wil Kec. Talang Empat, Perda No. 3/2018"
17.09.11.2009,,,,,,9 Lagan,,"Semula wil Kec. Talang Empat, Perda No. 3/2018"
17.09.11.2010,,,,,,10 Bukit,,"Semula wil Kec. Talang Empat, Perda No. 3/2018"
17.09.11.2011,,,,,,11 Kota Niur,,"Semula wil Kec. Taba Penanjung, Perda No. 3/2018"
