K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
81,MALUKU,,,,,,,
81.09,KAB. BURU SELATAN,,,6,0,81,"3.678,696","Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022"
81.09.01,,,,1Namrole,-,17,,Semula wil. Kab. Buru
81.09.01.2001,,,,,,1 Wamkana,,
81.09.01.2002,,,,,,2 Waenalut,,
81.09.01.2003,,,,,,3 Lektama,,
81.09.01.2004,,,,,,4 Fatmite,,
81.09.01.2005,,,,,,5 Elfule,,
81.09.01.2006,,,,,,6 Leku,,
81.09.01.2007,,,,,,7 Oki Baru,,
81.09.01.2008,,,,,,8 Oki Lama,,
81.09.01.2009,,,,,,9 Labuang,,
81.09.01.2010,,,,,,10 Wali,,
81.09.01.2011,,,,,,11 Tikbary,,Pemekaran desa Leku Perda No. 3/2012
81.09.01.2012,,,,,,12 Masnana,,Pemekaran desa Lebuang Perda No. 4/2012
81.09.01.2013,,,,,,13 Kamlanglale,,Pemekaran desa Elfule Perda No. 5/2012
81.09.01.2014,,,,,,14 Waenono,,Pemekaran desa Elfule Perda No. 6/2012
81.09.01.2015,,,,,,15 Namrinat,,Pemekaran desa Fatmite Perda No. 7/2012
81.09.01.2016,,,,,,16 Waefusi,,Pemekaran desa Lektama Perda No. 8/2012
81.09.01.2017,,,,,,17 Batu Tulis,,Pemekaran desa Wamkana Perda No. 9/2012
81.09.02,,,,2Waesama,-,11,,Semula wil. Kab. Buru
81.09.02.2001,,,,,,1 Waetawa,,
81.09.02.2002,,,,,,2 Waesili,,
81.09.02.2003,,,,,,3 Lena,,
81.09.02.2004,,,,,,4 Simi,,
81.09.02.2005,,,,,,5 Waelikut,,
81.09.02.2006,,,,,,6 Wamsisi,,
81.09.02.2007,,,,,,7 Pohon Batu,,
81.09.02.2008,,,,,,8 Waeteba,,
81.09.02.2009,,,,,,9 Hote,,Pemekaran desa Pohon Batu Perda No. 26/2012
81.09.02.2010,,,,,,10 Waemasing,,Pemekaran desa Waelikut Perda No. 27/2012
81.09.02.2011,,,,,,11 Batu Kasa,,Pemekaran desa Waelikut Perda No. 28/2012
81.09.03,,,,3Ambalau,-,7,,Semula wil. Kab. Buru
81.09.03.2001,,,,,,1 Lumoy,,
81.09.03.2002,,,,,,2 Masawoy,,
81.09.03.2003,,,,,,3 Ulima,,
81.09.03.2004,,,,,,4 Kampung Baru,,
,,,,,,,,
