K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
11.06.07.2010,,,,,,10 Lamkawe,,"Perbaikan nama sesuai Validasi Data Nama dan Kodefikasi Desa tgl 17
Mei 2017 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD tgl 21
Juni 2017"
11.06.07.2011,,,,,,11 Lheu Blang,,
11.06.07.2012,,,,,,12 Payaroh,,"Perbaikan nama sesuai Validasi Data Nama dan Kodefikasi Desa tgl 17
Mei 2017 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD tgl 21
Juni 2017"
11.06.07.2013,,,,,,13 Lamsidaya,,"Perbaikan nama sesuai Validasi Data Nama dan Kodefikasi Desa tgl 17
Mei 2017 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD tgl 21
Juni 2017"
11.06.07.2014,,,,,,14 Kuta Karang,,
11.06.07.2015,,,,,,15 Leu Geu,,
11.06.07.2016,,,,,,16 Lampeuneun,,"Perbaikan nama sesuai Validasi Data Nama dan Kodefikasi Desa tgl 17
Mei 2017 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD tgl 21
Juni 2017"
11.06.07.2017,,,,,,17 Lamtheun,,"Perbaikan nama sesuai Validasi Data Nama dan Kodefikasi Desa tgl 17
Mei 2017 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD tgl 21
Juni 2017"
11.06.07.2018,,,,,,18 Deunong,,
11.06.07.2019,,,,,,19 Tingkuem,,
11.06.07.2020,,,,,,20 Kandang,,
11.06.07.2021,,,,,,21 Lam Bheu,,
11.06.07.2022,,,,,,22 Daroy Kameu,,"Perbaikan nama sesuai Validasi Data Nama dan Kodefikasi Desa tgl 17
Mei 2017 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD tgl 21
Juni 2017"
11.06.07.2023,,,,,,23 Geundrieng,,"Perbaikan nama sesuai Validasi Data Nama dan Kodefikasi Desa tgl 17
Mei 2017 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD tgl 21
Juni 2017"
11.06.07.2024,,,,,,24 Garot,,
11.06.07.2025,,,,,,25 Pasheu Beutong,,"Perbaikan nama sesuai Validasi Data Nama dan Kodefikasi Desa tgl 17
Mei 2017 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD tgl 21
Juni 2017"
11.06.07.2026,,,,,,26 Lampasi Engking,,"Perbaikan nama sesuai Validasi Data Nama dan Kodefikasi Desa tgl 17
Mei 2017 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD tgl 21
Juni 2017"
11.06.07.2027,,,,,,27 Jeumpet Ajun,,
11.06.07.2028,,,,,,28 Gue Gajah,,
11.06.07.2029,,,,,,29 Leu Ue,,"Perbaikan nama sesuai Validasi Data Nama dan Kodefikasi Desa tgl 17
Mei 2017 dan Rekomedasi Ditjen Bina Pemdes No. 146/3672/BPD tgl 21
Juni 2017"
11.06.07.2030,,,,,,30 Ulee Lueng,,
11.06.07.2031,,,,,,31 Punie,,
11.06.07.2032,,,,,,32 Ulee Tuy,,
11.06.08,,,,8Peukan Bada,-,26,,
,,,,,,,,
