K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
,,,,,,Birang,,Menjadi wil. Kec. Damau
71.04.06.2007,,,,,,2 Bulude,,
71.04.06.2008,,,,,,3 Pantuge,,
71.04.06.2009,,,,,,4 Kabaruan,,
71.04.06.2010,,,,,,5 Mangaran,,
71.04.06.2011,,,,,,6 Kordakel,,
71.04.06.2012,,,,,,7 Rarange,,
71.04.06.2013,,,,,,8 Taduna,,
,,,,,,Birang,,
,,,,,,Ighik,,Menjadi wil. Kec. Damau
,,,,,,Damau Bowone,,Menjadi wil. Kec. Damau
71.04.06.2017,,,,,,9 Kabaruan Timur,,Perda No. 2/2006
71.04.06.2018,,,,,,10 Pantuge Timur,,Perda No. 20/2006
71.04.06.2019,,,,,,11 Pannulan,,Perda No. 20/2006
71.04.06.2020,,,,,,12 Bulude Selatan,,Perda No. 20/2006
,,,,,,Akas Balane,,Menjadi wil. Kec. Damau
71.04.07,,,,7Melonguane,3,10,,
71.04.07.1001,,,,,1Melonguane,,,Menjadi Kel. Perda No. 12/2005
71.04.07.2002,,,,,,1 Mala,,
71.04.07.2003,,,,,,2 Kiama,,
,,,,,,Tule,,"Menjadi wil. Kec. Melonguane Timur, Perda No. 1/2007"
,,,,,,Bowombaru,,"Menjadi wil. Kec. Melonguane Timur, Perda No. 1/2007"
71.04.07.2006,,,,,,3 Tarun,,
71.04.07.2007,,,,,,4 Sawang,,
71.04.07.2008,,,,,,5 Ambela,,
71.04.07.1009,,,,,2Melonguane Timur,,,Menjadi Kel. Perda No. 12/2005
71.04.07.1010,,,,,3Melonguane Barat,,,Menjadi Kel. Perda No. 12/2005
71.04.07.2011,,,,,,6 Tarun Selatan,,Perda No. 12/2005
71.04.07.2012,,,,,,7 Kiama Barat,,Perda No. 1/2006
,,,,,,Tule Utara,,"Menjadi wil. Kec. Melonguane Timur, Perda No. 1/2007"
,,,,,,Tule Tengah,,"Menjadi wil. Kec. Melonguane Timur, Perda No. 1/2007"
71.04.07.2015,,,,,,8 Maredaren Kiama,,"Perda No. 20/2006.
Perbaikan nama desa semula Maredaren Utara menjadi Maredaren
Kiama, sesuai:
Surat Bup Kep Talaud No. 146.4/506/DP3A-PMD Tanggal 29 Maret
2021;
SSurat Rekom Pemdes No. 145/2979/BPD Tanggal 13 Juni 2022 Hal
Penyampaian Data Desa Hasil Verifikasi dan Validasi Penamaan Desa;
dan
Perda Kab. Kepulauan Talaud No.20/2006."
71.04.07.2016,,,,,,9 Sawang Utara,,Perda No. 20/2006
,,,,,,,,
