K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
94.02.21.2011,,,,,,11 Towoluk,,
94.02.21.2012,,,,,,12 Tenolok,,
94.02.21.2013,,,,,,13 Jiogobak,,
94.02.21.2014,,,,,,14 Tirigoi,,
94.02.21.2015,,,,,,15 Mondogoneri,,
94.02.21.2016,,,,,,16 Tenomanggen,,
94.02.21.2017,,,,,,17 Andiron,,
94.02.21.2018,,,,,,18 Ambitmbit,,"Perbaikan nama desa/kampung semula Ambit-Mbit menjadi Ambitmbit,
sesuai:
Perda Kab. Puncak Jaya No. 1/2013; dan
BA No.36/TopoII/IX/2022 Tanggal 9 September 2022."
94.02.21.2019,,,,,,19 Aulakme,,
94.02.22,,,,22Nioga,,,,"Semula Wil. Prov. Papua; UU No 15 Tahun 2022 Tentang
Pembentukan Provinsi Papua Tengah"
94.02.22.2001,,,,,,1 Nioga,,
94.02.22.2002,,,,,,2 Yonggi,,
94.02.22.2003,,,,,,3 Wonggi,,
94.02.22.2004,,,,,,4 Wambagalo,,
94.02.22.2005,,,,,,5 Jigonikme,,
94.02.22.2006,,,,,,6 Muruwi,,
94.02.22.2007,,,,,,7 Wutime,,
94.02.22.2008,,,,,,8 Gibaga,,
94.02.22.2009,,,,,,9 Papak,,
94.02.22.2010,,,,,,10 Wanduri,,
94.02.22.2011,,,,,,11 Walom,,
94.02.23,,,,23Gubume,,,,"Semula Wil. Prov. Papua; UU No 15 Tahun 2022 Tentang
Pembentukan Provinsi Papua Tengah"
94.02.23.2001,,,,,,1 Gubume,,
94.02.23.2002,,,,,,2 Milineri,,
94.02.23.2003,,,,,,3 Melela,,
94.02.23.2004,,,,,,4 Kenendaga,,
94.02.23.2005,,,,,,5 Apelome,,
94.02.23.2006,,,,,,6 Kumigi,,
94.02.23.2007,,,,,,7 Noba-Noba,,"Perbaikan nama desa/kampung semula Noba Noba menjadi
Noba-Noba, sesuai:
Perda Kab. Puncak Jaya No. 1/2013; dan
BA No.36/TopoII/IX/2022 Tanggal 9 September 2022."
94.02.23.2008,,,,,,8 Nogi,,
94.02.23.2009,,,,,,9 Gubuneri,,
94.02.23.2010,,,,,,10 Liguni,,
94.02.23.2011,,,,,,11 Mondu,,
94.02.23.2012,,,,,,12 Jinggi,,
,,,,,,,,
