NO,KODE,"NAMA PROVINSI,
KABUPATEN / KOTA,
KECAMATAN",IBUKOTA,J U M L A H,,,,,"LUAS
WILAYAH
(Km2) *","JUMLAH
PENDUDUK
(Jiwa) **",K ET E R A N G A N
,,,,KAB,KOTA,KEC,KEL,DESA,,,
,35.18.06,6 Prambon,,,,,,14,,,
,35.18.07,7 Ngronggot,,,,,,13,,,
,35.18.08,8 Kertosono,,,,,1,13,,,
,35.18.09,9 Patianrowo,,,,,,11,,,
,35.18.10,10 Baron,,,,,,11,,,
,35.18.11,11 Tanjunganom,,,,,2,14,,,
,35.18.12,12 Sukomoro,,,,,2,10,,,
,35.18.13,13 Nganjuk,,,,,13,2,,,
,35.18.14,14 Bagor,,,,,2,19,,,
,35.18.15,15 Wilangan,,,,,,6,,,
,35.18.16,16 Rejoso,,,,,,24,,,
,35.18.17,17 Gondang,,,,,,17,,,
,35.18.18,18 Ngluyu,,,,,,6,,,
,35.18.19,19 Lengkong,,,,,,16,,,
,35.18.20,20 Jatikalen,,,,,,11,,,
,35.19,19 KAB. MADIUN,Caruban,,,15,8,198,1.114,755.423,"Perubahan nama ibukota Kab. Madiun sesuai PP. No. 3 tahun 2019
Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022"
,35.19.01,1 Kebonsari,,,,,,14,,,"Perbaikan nama kecamatan semula Kebon Sari menjadi Kebonsari
sesuai Surat Bupati Madiun Tanggal 7 Juli 2022 No.
146/408/402.011/2022."
,35.19.02,2 Dolopo,,,,,2,10,,,
,35.19.03,3 Geger,,,,,,19,,,
,35.19.04,4 Dagangan,,,,,,17,,,
,35.19.05,5 Kare,,,,,,8,,,
,35.19.06,6 Gemarang,,,,,,7,,,
,35.19.07,7 Wungu,,,,,2,12,,,
,35.19.08,8 Madiun,,,,,1,12,,,
,35.19.09,9 Jiwan,,,,,,14,,,
,35.19.10,10 Balerejo,,,,,,18,,,
,35.19.11,11 Mejayan,,,,,3,11,,,
,35.19.12,12 Saradan,,,,,,15,,,
,35.19.13,13 Pilangkenceng,,,,,,18,,,
,35.19.14,14 Sawahan,,,,,,13,,,
,35.19.15,15 Wonoasri,,,,,,10,,,
