NO,KODE,"NAMA PROVINSI,
KABUPATEN / KOTA,
KECAMATAN",IBUKOTA,J U M L A H,,,,,"LUAS
WILAYAH
(Km2) *","JUMLAH
PENDUDUK
(Jiwa) **",K ET E R A N G A N
,,,,KAB,KOTA,KEC,KEL,DESA,,,
,35.74.03,3 Mayangan,,,,,5,,,,
,35.74.04,4 Kanigaran,,,,,6,,,,Perda No. 20/2006
,35.74.05,5 Kedopok,,,,,6,,,,"Perda No. 20/2006. Koreksi nama Srt Wlkt no 136/365/425.011/2016
tgl 23 Feb 2016"
,35.75,34 KOTA PASURUAN,Pasuruan,,,4,34,0,39,211.220,"Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022"
,35.75.01,1 Gadingrejo,,,,,8,,,,
,35.75.02,2 Purworejo,,,,,7,,,,
,35.75.03,3 Bugul Kidul,,,,,6,,,,
,35.75.04,4 Panggungrejo,,,,,13,,,,"Pemekaran Kec. Gadingrejo, Purworejo, Bugul Kidul Perda No.
15/2012"
,35.76,35 KOTA MOJOKERTO,Mojokerto,,,3,18,0,20,140.442,"Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022"
,35.76.01,1 Prajuritkulon,,,,,6,,,,
,35.76.02,2 Magersari,,,,,6,,,,
,35.76.03,3 Kranggan,,,,,6,,,,"Permekaran sebagian wil Kec Prajurit Kulon dan Magersari Perda No
17/2015"
,35.77,36 KOTA MADIUN,Madiun,,,3,27,0,36,201.611,"Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022"
,35.77.01,1 Kartoharjo,,,,,9,,,,
,35.77.02,2 Manguharjo,,,,,9,,,,
,35.77.03,3 Taman,,,,,9,,,,
,35.78,37 KOTA SURABAYA,Surabaya,,,31,153,0,336,2.972.801,"Luas Wilayah Indikatif, PBW, sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022"
,35.78.01,1 Karang Pilang,,,,,4,,,,"Koreksi nama Kec Srt Sekda Prov No 138.3/13493/011.1/2018 tgl 31
agst 2018 :perubahan data"
,35.78.02,2 Wonocolo,,,,,5,,,,
,35.78.03,3 Rungkut,,,,,6,,,,
,35.78.04,4 Wonokromo,,,,,6,,,,
,35.78.05,5 Tegalsari,,,,,5,,,,
,35.78.06,6 Sawahan,,,,,6,,,,
,35.78.07,7 Genteng,,,,,5,,,,
,35.78.08,8 Gubeng,,,,,6,,,,
,35.78.09,9 Sukolilo,,,,,7,,,,
,35.78.10,10 Tambaksari,,,,,8,,,,
,35.78.11,11 Simokerto,,,,,5,,,,
