NO,KODE,"NAMA PROVINSI,
KABUPATEN / KOTA,
KECAMATAN",IBUKOTA,J U M L A H,,,,,"LUAS
WILAYAH
(Km2) *","JUMLAH
PENDUDUK
(Jiwa) **",K ET E R A N G A N
,,,,KAB,KOTA,KEC,KEL,DESA,,,
,72.06.07,3 Menui Kepulauan,,,,,1,23,,,
,72.06.08,4 Bungku Barat,,,,,,10,,,
,72.06.09,5 Bumi Raya,,,,,,13,,,
,72.06.10,6 Bahodopi,,,,,,12,,,
,72.06.12,7 Wita Ponda,,,,,,9,,,
,72.06.15,8 Bungku Pesisir,,,,,,10,,,Pemekaran Kec. Bungku Selatan Perda No. 4/2011
,72.06.18,9 Bungku Timur,,,,,,10,,,Pemekaran Kec. Bungku Tengah Perda No. 7/2011
,72.07,7 KAB. BANGGAI KEPULAUAN,Salakan,,,12,3,141,2.385,124.332,"Luas Wilayah Definitif, PAWAP, sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022"
,72.07.03,1 Totikum,,,,,,11,,,
,72.07.04,2 Tinangkung,,,,,1,10,,,
,72.07.05,3 Liang,,,,,,16,,,
,72.07.06,4 Bulagi,,,,,1,15,,,
,72.07.07,5 Buko,,,,,,13,,,
,72.07.09,6 Bulagi Selatan,,,,,,20,,,
,72.07.11,7 Tinangkung Selatan,,,,,,9,,,Perda No. 4/2006
,72.07.15,8 Totikum Selatan,,,,,,8,,,Perda No. 6/2007
,72.07.16,9 Peling Tengah,,,,,,11,,,Perda No. 7/2007
,72.07.17,10 Bulagi Utara,,,,,1,11,,,Perda No. 8/2007
,72.07.18,11 Buko Selatan,,,,,,11,,,Perda No. 9/2007
,72.07.19,12 Tinangkung Utara,,,,,,6,,,Perda No. 10/2007
,72.08,8 KAB. PARIGI MOUTONG,Parigi,,,23,5,278,5.806,452.507,"Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022"
,72.08.01,1 Parigi,,,,,5,6,,,
,72.08.02,2 Ampibabo,,,,,,19,,,
,72.08.03,3 Tinombo,,,,,,15,,,
,72.08.04,4 Moutong,,,,,,20,,,
,72.08.05,5 Tomini,,,,,,14,,,Diperbarui Perda No. 17/2007
,72.08.06,6 Sausu,,,,,,10,,,
,72.08.07,7 Bolano Lambunu,,,,,,14,,,
,72.08.08,8 Kasimbar,,,,,,18,,,
,72.08.09,9 Torue,,,,,,7,,,Perda No. 30/2005
,72.08.10,10 Tinombo Selatan,,,,,,20,,,Perda No. 31/2005
,72.08.11,11 Parigi Selatan,,,,,,10,,,Perda No. 6/2006
,72.08.12,12 Mepanga,,,,,,18,,,Perda No. 7/2006
