K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
18.10.02.2018,,,,,,18 Wates Selatan,,"Pemekaran sebagian Desa Wates, Perda No. 13/2012"
18.10.02.2019,,,,,,19 Gading Rejo Timur,,"Pemekaran sebagian Desa Gadingrejo, Perda No. 13/2012. Koreksi
nama, ND Rekom No 140/4495/BPD tanggal 29 Juni 2016"
18.10.02.2020,,,,,,20 Gading Rejo Utara,,"Pemekaran sebagian Desa Gadingrejo, Perda No. 13/2012. Koreksi
nama, ND Rekom No 140/4495/BPD tanggal 29 Juni 2016"
18.10.02.2021,,,,,,21 Tambah Rejo Barat,,"Pemekaran sebagian Desa Tambahrejo, Perda No. 13/2012. Koreksi
nama, ND Rekom No 140/4495/BPD tanggal 29 Juni 2016"
18.10.02.2022,,,,,,22 Wonodadi Utara,,"Pemekaran sebagian Desa Wonodadi, Perda No. 13/2012"
18.10.02.2023,,,,,,23 Yogyakarta Selatan,,"Pemekaran sebagian Desa Yogyakarta, Perda No. 13/2012"
18.10.03,,,,3Ambarawa,-,8,,Semula wil. Kab. Tanggamus
18.10.03.2001,,,,,,1 Ambarawa,,
18.10.03.2002,,,,,,2 Ambarawa Barat,,
18.10.03.2003,,,,,,3 Kresno Mulyo,,
18.10.03.2004,,,,,,4 Sumber Agung,,
18.10.03.2005,,,,,,5 Tanjung Anom,,
18.10.03.2006,,,,,,6 Jati Agung,,
18.10.03.2007,,,,,,7 Margodadi,,
18.10.03.2008,,,,,,8 Ambarawa Timur,,"Pemekaran sebagian Desa Ambarawa, Perda No. 24/2011"
18.10.04,,,,4Pardasuka,-,13,,Semula wil. Kab. Tanggamus
18.10.04.2001,,,,,,1 Kedaung,,
18.10.04.2002,,,,,,2 Pardasuka,,
18.10.04.2003,,,,,,3 Suka Negeri,,
18.10.04.2004,,,,,,4 Tanjung Rusia,,
18.10.04.2005,,,,,,5 Warga Mulyo,,
18.10.04.2006,,,,,,6 Pujodadi,,
18.10.04.2007,,,,,,7 Sukorejo,,
18.10.04.2008,,,,,,8 Selapan,,
18.10.04.2009,,,,,,9 Rantau Tijang,,
18.10.04.2010,,,,,,10 Sidodadi,,
18.10.04.2011,,,,,,11 Pardasuka Timur,,
18.10.04.2012,,,,,,12 Tanjung Rusia Timur,,
18.10.04.2013,,,,,,13 Pardasuka Selatan,,"Pemekaran sebagian Desa Pardasuka, Perda No. 24/2011"
18.10.05,,,,5Pagelaran,-,22,,Semula wil. Kab. Tanggamus
18.10.05.2001,,,,,,1 Candi Retno,,
18.10.05.2002,,,,,,2 Tanjung Dalom,,
18.10.05.2003,,,,,,3 Way Ngison,,
18.10.05.2004,,,,,,4 Suka Wangi,,
18.10.05.2005,,,,,,5 Suka Ratu,,
18.10.05.2006,,,,,,6 Pagelaran,,
18.10.05.2007,,,,,,7 Patoman,,
18.10.05.2008,,,,,,8 Karangsari,,"Koreksi nama, ND Rekom No 140/4495/BPD tanggal 29 Juni 2016"
,,,,,,,,
