K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
62,KALIMANTAN TENGAH,,,,,,,
62.13,KAB. BARITO TIMUR,,,10,3,100,"3.212,515","Luas Wilayah Indikatif, PBW sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022."
62.13.01,,,,1Dusun Timur,1,16,,
,,,,,,Juru Banu,,"Menjadi wil. Kec. Paju Epat, Perda No. 11/2006"
,,,,,,Telang Baru,,"Menjadi wil. Kec. Paju Epat, Perda No. 11/2006"
62.13.01.2003,,,,,,1 Pulau Patai,,
62.13.01.2004,,,,,,2 Sarapat,,
62.13.01.2005,,,,,,3 Magantis,,
62.13.01.2006,,,,,,4 Jaar,,"Perbaikan nama sesuai hasil Rakernis Ditjen Bina Pemdes tentang
Klarifikasi Data Nama dan Kodefikasi Desa tgl 1 April 2016"
62.13.01.2007,,,,,,5 Matabu,,
62.13.01.2008,,,,,,6 Dorong,,
62.13.01.2009,,,,,,7 Didi,,
62.13.01.2010,,,,,,8 Karang Langit,,
62.13.01.2011,,,,,,9 Haringen,,
62.13.01.1012,,,,,1Tamiang Layang,,,"Perbaikan nama sesuai Srt Gub No.100/286/I.1/Pem tgl 25 Okt 2018 hal
Rencana Revisi Permendagri No. 137/2017"
,,,,,,Tampulangit,,"Menjadi wil. Kec. Paju Epat, Perda No. 11/2006"
,,,,,,Telang Siong,,"Menjadi wil. Kec. Paju Epat, Perda No. 11/2006"
,,,,,,Maipe,,"Menjadi wil. Kec. Paju Epat, Perda No. 11/2006"
,,,,,,Murutuwu,,"Menjadi wil. Kec. Paju Epat, Perda No. 11/2006"
,,,,,,Balawa,,"Menjadi wil. Kec. Paju Epat, Perda No. 11/2006"
62.13.01.2018,,,,,,10 Jaweten,,
62.13.01.2019,,,,,,11 Matarah,,Perda No. 24/2007
62.13.01.2020,,,,,,12 Maragut,,Perda No. 24/2007
62.13.01.2021,,,,,,13 Mangkarap,,Perda No. 24/2007
62.13.01.2022,,,,,,14 Gumpa,,Perda No. 24/2007
62.13.01.2023,,,,,,15 Sumur,,Perda No. 24/2007
62.13.01.2024,,,,,,16 Harara,,Perda No. 24/2007
62.13.02,,,,2Banua Lima,1,6,,
62.13.02.1001,,,,,1Pasar Panas/Taniran,,,
62.13.02.2002,,,,,,1 Kandris,,
62.13.02.2003,,,,,,2 Banyu Landas,,
62.13.02.2004,,,,,,3 Bagok,,
62.13.02.2005,,,,,,4 Bamban,,
62.13.02.2006,,,,,,5 Tewah Pupuh,,
62.13.02.2007,,,,,,6 Gudang Seng,,Perda No. 24/2007
62.13.03,,,,3Patangkep Tutui,-,10,,
