K O D E,"NAMA PROVINSI /
KABUPATEN / KOTA",JUMLAH,,N A M A / J U M L A H,,,"LUAS
WILAYAH
(Km2)",K E T E R A N G A N
,,KAB,KOTA,KECAMATAN,KELURAHAN,D E S A,,
11.05.11.2020,,,,,,20 Alue Seuralen,,
11.05.11.2021,,,,,,21 Rambong Pinto,,
11.05.11.2022,,,,,,22 Tuwi Eumpeuk,,"Perbaikan nama sesuai Surat Pem Aceh No. 146.1/10560 tgl 13 Juni
2016 Hal Hasil Klarifikasi Nama Desa/Gampong di Aceh"
11.05.11.2023,,,,,,23 Blang Luah KB,,
11.05.11.2024,,,,,,24 Seuneubok Dalam,,
11.05.11.2025,,,,,,25 Paya Meugendrang,,"Perbaikan nama dari Paya Meugenderang menjadi Paya
Meugendrang,Surat Pem Aceh No. 146.1/10560 tgl 13 Juni 2016,surat
Bupati Aceh Barat No 140/456/I/2020 tgl 12 Agustus 2020,Surat
Sesditjen Bina Pemerintahan Desa No 145/2430/BPD tgl 24 Mei 2021"
11.05.11.2026,,,,,,26 Gunong Panyang,,"Perbaikan nama desa semula Gunong Payang menjadi Gunong
Panyang, sesuai:
Qanun No. 5 Tahun 2015; dan
Surat Sekda Pem. Aceh No. 140/14270 tgl 07 September 2022."
11.05.12,,,,12Panton Reu,-,19,,Qanun No. 5/2007
11.05.12.2001,,,,,,1 Meutulang,,"Semula wil. Kec. Kaway XVI.
Perbaikan nama desa semula Mentulang menjadi Meutulang, sesuai:
Qanun No. 5 Tahun 2015; dan
Surat Sekda Pem. Aceh No. 140/14270 tgl 07 September 2022."
11.05.12.2002,,,,,,2 Mugo Cut,,Semula wil. Kec. Kaway XVI
11.05.12.2003,,,,,,3 Mugo Rayeuk,,Semula wil. Kec. Kaway XVI
11.05.12.2004,,,,,,4 Baro Paya,,Semula wil. Kec. Kaway XVI
11.05.12.2005,,,,,,5 Sibintang,,Semula wil. Kec. Kaway XVI
11.05.12.2006,,,,,,6 Blang Teungoh,,Semula wil. Kec. Kaway XVI
11.05.12.2007,,,,,,7 Antong,,Semula wil. Kec. Kaway XVI
11.05.12.2008,,,,,,8 Ujong Raja,,"Semula wil. Kec. Kaway XVI, Perbaikan nama sesuai Surat Pem Aceh
No. 146.1/10560 tgl 13 Juni 2016 Hal Hasil Klarifikasi Nama
Desa/Gampong di Aceh"
11.05.12.2009,,,,,,9 Paya Baro Meuko,,Semula wil. Kec. Kaway XVI
11.05.12.2010,,,,,,10 Tuwi Buya,,Semula wil. Kec. Kaway XVI
11.05.12.2011,,,,,,11 Kuala Manyeu,,"Semula wil. Kec. Kaway XVI.
Perbaikan nama desa semula Kuala Manyeue menjadi Kuala Manyeu,
sesuai:
Qanun No. 5 Tahun 2015; dan
Surat Sekda Pem. Aceh No. 140/14270 tgl 07 September 2022."
11.05.12.2012,,,,,,12 Manggie,,Semula wil. Kec. Kaway XVI
11.05.12.2013,,,,,,13 Gampong Baro,,"Semula wil. Kec. Kaway XVI, Perbaikan nama sesuai Surat Pem Aceh
No. 146.1/10560 tgl 13 Juni 2016 Hal Hasil Klarifikasi Nama
Desa/Gampong di Aceh"
11.05.12.2014,,,,,,14 Tamping,,Semula wil. Kec. Kaway XVI
11.05.12.2015,,,,,,15 Cot Manggie,,Semula wil. Kec. Kaway XVI
11.05.12.2016,,,,,,16 Blang Balee,,Semula wil. Kec. Kaway XVI
11.05.12.2017,,,,,,"17 Babah Krueng
Manggie",,Semula wil. Kec. Kaway XVI
11.05.12.2018,,,,,,18 Gunong Mata Ie,,Semula wil. Kec. Kaway XVI
,,,,,,,,
