NO,KODE,"NAMA PROVINSI,
KABUPATEN / KOTA,
KECAMATAN",IBUKOTA,J U M L A H,,,,,"LUAS
WILAYAH
(Km2) *","JUMLAH
PENDUDUK
(Jiwa) **",K ET E R A N G A N
,,,,KAB,KOTA,KEC,KEL,DESA,,,
,32.13,13 KAB. SUBANG,Subang,,,30,8,245,2.166,1.599.318,"Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022"
,32.13.01,1 Sagalaherang,,,,,,7,,,
,32.13.02,2 Cisalak,,,,,,9,,,
,32.13.03,3 Subang,,,,,8,,,,
,32.13.04,4 Kalijati,,,,,,10,,,
,32.13.05,5 Pabuaran,,,,,,8,,,
,32.13.06,6 Purwadadi,,,,,,10,,,
,32.13.07,7 Pagaden,,,,,,10,,,
,32.13.08,8 Binong,,,,,,9,,,
,32.13.09,9 Ciasem,,,,,,9,,,
,32.13.10,10 Pusakanagara,,,,,,7,,,
,32.13.11,11 Pamanukan,,,,,,8,,,
,32.13.12,12 Jalancagak,,,,,,7,,,
,32.13.13,13 Blanakan,,,,,,9,,,
,32.13.14,14 Tanjungsiang,,,,,,10,,,
,32.13.15,15 Compreng,,,,,,8,,,
,32.13.16,16 Patokbeusi,,,,,,10,,,
,32.13.17,17 Cibogo,,,,,,9,,,
,32.13.18,18 Cipunagara,,,,,,10,,,
,32.13.19,19 Cijambe,,,,,,8,,,
,32.13.20,20 Cipeundeuy,,,,,,7,,,Perda No. 3/2007
,32.13.21,21 Legonkulon,,,,,,7,,,
,32.13.22,22 Cikaum,,,,,,9,,,
,32.13.23,23 Serangpanjang,,,,,,6,,,Perda No.3/2007
,32.13.24,24 Sukasari,,,,,,7,,,Perda No.3/2007
,32.13.25,25 Tambakdahan,,,,,,9,,,Perda No.3/2007
,32.13.26,26 Kasomalang,,,,,,8,,,Perda No.3/2007
,32.13.27,27 Dawuan,,,,,,10,,,Perda No.3/2007
,32.13.28,28 Pagaden Barat,,,,,,9,,,Perda No.3/2007
,32.13.29,29 Ciater,,,,,,7,,,Perda No.3/2007
,32.13.30,30 Pusakajaya,,,,,,8,,,Perda No.3/2007
,32.14,14 KAB. PURWAKARTA,Purwakarta,,,17,9,183,993,1.008.058,"Luas Wilayah Definitif sesuai Surat Kapus PPBW BIG No.
B-3.11/PBW-BIG/IGD.04.04/10/2022 Tanggal 3 Oktober 2022"
,32.14.01,1 Purwakarta,,,,,9,1,,,
